title,authors,scopus author ids,year,scopus source title,language,citescore (publication year),citescore percentile (publication year) *,sjr (publication year),times higher education (the) field name,abstract_x,abstract_y,doi,publication type,open access,country/region,institutions,infokom_author_names,infokom_author_scopus_ids,has_infokom_author,keyword
Optimalization Global Horizontal Irradiance Based On Weather Data Using Hybrid model Modified Decomposition FeedForward Neural Network,"Kartini, U.T.| Suprianto, B.| Buditjahjanto, I.G.P.A.| Anifah, L.| Nurhayati| Adiwana, M.N.",57192095275| 8215287000| 35728306600| 55648855000| 57190439932| 57976858300,2022,"2022 5th International Conference on Vocational Education and Electrical Engineering: The Future of Electrical Engineering, Informatics, and Educational Technology Through the Freedom of Study in the Post-Pandemic Era, ICVEE 2022 - Proceeding",English,-,-,-,Computer Science| Physical Sciences| Engineering| Education Studies,https://www.scopus.com/record/display.url?eid=2-s2.0-85142455780&origin=resultslist,"A novel hybrid modeling for optimized predictive of global horizontal irradiance (GHI) based on weather data with a combination of modified decomposition and feedforward Neural Network model. The proposed hybrid modeling is based on weather data, especially for the optimization of global horizontal irradiance. This hybrid modeling is a modified decomposition algorithm and feedforward neural network method. The modified Decomposition FNN (MD-FNN) hybrid method is designed to forecast GHI 60 minutes based on weather data for Photovoltaic generation. The novelty of this combination model is taking into account based on weather data. The model modified decomposition as a preprocessing to the feedforward neural network model. In the error statistical index of the MD-FNN method, the mean absolute percentage error (MAPE) is 1 %. Then, we compare this hybrid prediction method with the actual data. The composition and simulation results show that the MD-FNN method can be calculated with optimal accuracy each hour.",10.1109/ICVEE57061.2022.9930391,Conference Paper,,Indonesia,Universitas Negeri Surabaya,Unit Three Kartini|Lilik Anifah|Nurhayati,57192095275|55648855000|57190439932,TRUE,decomposition; forecasting; global horizontal irradiance (GHI); modified; neural network (NN); photovoltaic (PV)
Impact of Soft Skills Competencies to predict Graduates getting Jobs Using Random Forest Algorithm,"Nudin, S.R.| Warsito, B.| Wibowo, A.",56766087800| 57188561936| 57205972690,2022,"2022 1st International Conference on Information System and Information Technology, ICISIT 2022",English,-,-,-,Computer Science| Physical Sciences,https://www.scopus.com/record/display.url?eid=2-s2.0-85138707649&origin=resultslist,"Soft skills competencies is a special skill by a person in the field of self-management. This competency is very much needed by higher education in getting a job in the era of industry 4.0 and society 5.0. Analysis of the impact of soft skills competencies is currently not widely carried out, even though the tracer study instrument for higher education already exists. Prediction of graduate readiness to enter the work world is very important for higher education. It is necessary to carry out further analysis in this regard. The focus of this research is to analyze the relationship between soft skills competencies and the absorption of graduates in getting a job before six months using the random forest algorithm. The results of the testing using confusion matrix in the development of this prediction model resulted an accuracy of 64%.",10.1109/ICISIT54091.2022.9872669,Conference Paper,,Indonesia,Universitas Negeri Surabaya| Universitas Diponegoro,,,FALSE,competencies; graduates; prediction; random forest algorithm; soft skills
Fractional Order Proportional Integral Derivative Based on Sea Horse-Optimizer As DC Motor Control,"Aribowo, W.| Rahmadian, R.| Widyartono, M.| Buditjahjanto, G.P.A.| Wardani, A.L.| Haryudo, S.I.",57216862548| 57201853815| 57201863232| 58806566200| 57976879400| 57202236759,2023,"2023 6th International Conference on Vocational Education and Electrical Engineering: Integrating Scalable Digital Connectivity, Intelligence Systems, and Green Technology for Education and Sustainable Community Development, ICVEE 2023 - Proceeding",English,-,-,-,Engineering| Computer Science| Social Sciences| Education Studies| Physical Sciences,https://www.scopus.com/record/display.url?eid=2-s2.0-85182022764&origin=resultslist,"Due to their widespread application in numerous types of electronic equipment, DC motors are a hot issue. Therefore, a quick and trustworthy control is needed. With the discovery of various new techniques, the development of optimized control approaches is accelerating. An optimization technique called Sea Horse optimizer (SHO) is based on the interactions of sea horses with other living things. In this article, we'll discuss how to enhance fractional order PID (FOPID) control on DC motors using the SHO technique. Because the fractional calculus operators used by the FOPID controller cannot be used directly in numerical calculations, implementing the FOPID controller is equally challenging. The FOPID-SHO approach is the one that this article suggests. The standard PID and Particle Swarm optimization (PSO) are two of the comparison methodologies used in this work to evaluate the performance of the suggested method. The performance of the suggested strategy is also measured in this investigation using a different reference speed. The results of the trial show that the FOPID-SHO approach performs at the highest level. When compared to the conventional method, the FOPID-SHO method overshoots by 0.466%.",10.1109/ICVEE59738.2023.10348249,Conference Paper,,Indonesia,Universitas Negeri Surabaya,Subuh Isnur Haryudo,57202236759,TRUE,DC Motor; FOPID; Metaheuristic; Sea Horse Optimizer
Variable on SME Fashion Industry with NFT Blockchain as the Design Protection and Counterfeiting Measurement Using Narrative Analysis,"Safitri, A.| Husin, N.| Fazlurrahman, H.| Dhenabayu, R.| Kautsar, A.| Purwohandoko",57865772100| 55008449900| 35798303400| 58679642300| 57202283774| 58679381500,2023,"2023 International Conference on Data Science and Its Applications, ICoDSA 2023",English,-,-,-,Physical Sciences| Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85175647937&origin=resultslist,"NFT development, backed by blockchain technology, is still in motion and ongoing though the hype has cooled off along with the advance of the technology. With the advancement of technology, fashion is also one thing that gets affected. Fashion, one of the human necessities, has given many business opportunities, with the SME fashion industry having a big part in it. With their limited budget, sadly, they didn't have many options to handle some of the biggest challenges in the fashion industry, which poached design and counterfeiting. Fortunately, NFT has given some solutions that could help cope with those problems. The NFT with blockchain technology could be used to protect how it works by making a unique signature to the digitized asset it is associated with. Real physical goods could be linked to the digitized version with NFT technology for recognition and protective purpose. It will help prove the digital goods' ownership and the linked physical ones. This paper sought to find out what variables affect the fashion SME industry with the NFT as the design protection and counterfeit measurement by using the qualitative narrative analysis from the data gathered using the conducted storytelling interview. The variable will then be compared with the previous study's findings for further analysis and results.",10.1109/ICoDSA58501.2023.10277308,Conference Paper,,Indonesia,Universitas Negeri Surabaya,,,FALSE,blockchain; counterfeit; fashion; narrative; NFT; SME
A Random Forest Algorithm for Predicting Computer Programming Skill Associated with Learning Styles,"Anistyasari, Y.| Hidayati, S.C.| Harimurti, R.| Ekohariadi",53263227700| 55533725700| 57201859670| 57195553791,2023,"2023 6th International Conference on Vocational Education and Electrical Engineering: Integrating Scalable Digital Connectivity, Intelligence Systems, and Green Technology for Education and Sustainable Community Development, ICVEE 2023 - Proceeding",English,-,-,-,Engineering| Computer Science| Education Studies| Physical Sciences| Social Sciences,https://www.scopus.com/record/display.url?eid=2-s2.0-85182026164&origin=resultslist,"The complexity of programming concepts such variables, loops, arrays, and functions contribute roadblocks for students learning to code. Predicting computer programming skills using machine learning is commonplace. It enables early identification of student at risk of programming failure and prompt implementation of successful early intervention strategies. Artificial intelligence relies to acquire information and rules from complicated data in order to foresee outcomes and patterns in behavior. In contrast to statistical approaches, machine learning seeks to improve prediction performance by making more accurate forecasts. Hence, we set out to investigate, using machine learning techniques, partially the Random Forest Algorithm's (RFA) to predict vocational high school students' proficiency in computer programming. The outcomes indicated a pass prediction of 90.23 percent, a failure prediction of 55 percent, an overall accuracy of 88.79 percent, and a total performance indicator of 91 percent across all classification cutoffs.",10.1109/ICVEE59738.2023.10348199,Conference Paper,,Indonesia,Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya,Yeni Anistyasari,53263227700,TRUE,computer programming skill; learning styles; predictive analysis; random forest algorithm
Activation Function Comparison on Potato Leaf Disease Classification Performance,"Suciningtyas, L.| Alfatikarani, R.| Alan, M.B.F.| Maimunir, F.M.| Tjahyaningtijas, H.P.A.",57976270700| 58806522100| 58806665700| 58806522200| 58028094300,2023,"2023 6th International Conference on Vocational Education and Electrical Engineering: Integrating Scalable Digital Connectivity, Intelligence Systems, and Green Technology for Education and Sustainable Community Development, ICVEE 2023 - Proceeding",English,-,-,-,Engineering| Computer Science| Social Sciences| Education Studies| Physical Sciences,https://www.scopus.com/record/display.url?eid=2-s2.0-85182023393&origin=resultslist,"Indonesia is a country with agriculture and food crops potential. The agricultural production index in 2021 has grown in comparison to 2020 based on these three plant categories, with food crops reaching 92.51, horticultural crops at 121.39, and plantation crops at 161.85. A food crop called the potato (Solanum tuberosum L.) is utilized in Indonesia as a vegetable and is frequently used in processed food, homes, fast food company, and flour and chip company. Attacks from pests and diseases are one of the contributing elements to the current fall in potato crop productivity. The ability to diagnose illnesses more quickly and with greater accuracy has been made possible by technological advancements. One method for detecting potato leaf disease is artificial intelligence (AI). Unbalanced data is another issue, where the relative data sets proportionate class sizes diverge by a significant enough margin. Data processing for imbalanced or oversampled data is necessary to avoid this. A method for combining various data classes to get a balanced data collection is oversampling. This method is known as data pre-processing. Convolutional Neural Network (CNN) method will be used to process the data after it has been balanced. CNN are a type of deep learning algorithm. The CNN approach uses many processing layers to identify and extract data features. More than one convolution layer can be used by CNN to build complicated features from the network's initial simple features. The goal of the study was to use potato leaf image data based on three class, including potato plants with healthy, early blight, and late blight to diagnose illnesses with the greatest accuracy to farmers or agriculture department. The steps in the methodology are choosing the optimal activation, optimizer, and epoch functions to compare, selecting the best potato dataset, pre-processing, splitting the data for training and testing, determining the classification using CNN, and accuracy. The proposed method delivers accuracy on the potato leaf diseases with an accuracy of 98.33% with a 3X3 kernel, ADAM optimizer, activation function ReLu, and epoch 250.",10.1109/ICVEE59738.2023.10348283,Conference Paper,,Indonesia,Universitas Negeri Surabaya,,,FALSE,agriculture; convolutional neural networks; deep learning; food crops; potato leaf diseases
Factor Analysis that Influences CPL/Pilot License Commercial Phase Technical Knowledge of Cadets of Official Aviation School Vocational Education,"Hariri, A.| Suprianto, B.| Wardhono, A.| Gusti Putu Asto, I.B.",57220055123| 8215287000| 56033884800| 57220049358,2020,"Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020",English,-,-,-,Education Studies| Computer Science| Engineering,https://www.scopus.com/record/display.url?eid=2-s2.0-85096677781&origin=resultslist,"Ability competencies conduct performances based on knowledge, skills, and attitudes according to performances required. The research analyzes the factors that can influence CPL/pilot license commercial phase technical knowledge of cadets of official aviation school vocational education. The research uses a quantitative approach by using the Data Analysis Technique of factor analysis. The population in this research consists of cadets available in Indonesian Aviation Academy and Indonesian Aviation Polytechnique Curug as 180 cadets, whereas the sampling technique uses a total sampling of 180 cadets. The data collection uses questionnaires. The results in this research find five factors, they are performance ability factors, performance attitude and communication factors, performance moral factor, performance factual factor, and performance mental factor.",10.1109/ICVEE50212.2020.9243268,Conference Paper,,Indonesia,Universitas Negeri Surabaya,,,FALSE,and Performance Mental; Competency; Performance Ability; Performance Attitude and Communication; Performance Factual; Performance Moral
The impact of online platform Edmodo to enhance students’ motivation in learning writing at tertiary education,"Ulfa, S.M.| Susanto, S.| Purwati, O.",57752118300| 58142528500| 57212526434,2022,World Journal on Educational Technology: Current Issues,English,-,-,-,Education Studies| Computer Science| Business and Economics,https://www.scopus.com/record/display.url?eid=2-s2.0-85132278392&origin=resultslist,"The goals of this study was to investigate the impact of Edmodo to enhance students’ motivation in learning writing. The participants of the research consist of 36 students studying in university in the 2018-2019 academic years. In the research designed in the descriptive qualitative design, the class observation was carried out in the writing lesson, and it was observed that the writing class using Edmodo increased the students’ performance and achievement to the lesson. The findings of this study found that students actively participated in writing class. Their high curiosity was proved by the participation of their writing week by week. This research also indicated that most students were willing to use Edmodo and felt that this online platform was proper to post their writing and freely receive feedback privately without being exposed to their friends.",10.18844/wjet.v14i3.7207,Article,Gold,Indonesia,Universitas Negeri Surabaya,,,FALSE,Edmodo; Learning Tool; Online Platform; Students’ Motivation; Tertiary Education
A Bibliometric Analysis of Virtual Reality Research on Critical Thinking Skills and Student Responses using PLS-SEM,"Suprapto, N.| Hakim, S.R.| Hidaayatullaah, H.N.| Dermawan, D.A.| Syahputra, D.N.A.",57163917500| 57214705909| 57217176216| 57204489182| 59150191200,2024,ACM International Conference Proceeding Series,English,-,-,-,Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85205360294&origin=resultslist,"Incorporating virtual reality technology is one way to enhance critical thinking skills in education. However, only a few studies have looked into the effect of virtual reality on student responses and the factors that influence critical thinking skills. To understand how students learn through virtual reality, this study analyzed the relationship between critical thinking skills and virtual reality research on student responses. The study analyzed trends in virtual reality in science learning from the Scopus database using bibliometric analysis. The result indicates that research in VR-CTS has significantly increased over the last decade. The United States has the highest number of publications, followed by China and Indonesia. China is also the most cited country in VR-CTS research. The most productive researcher is Rusyati L., and the Journal of Physics Conference Series is the most relevant source. Visualization mapping shows a strong relationship between VR and critical thinking skills, particularly for students in learning. Thematic evolution analysis indicates that VR is widely applied in education, training, and safety beyond entertainment. These findings underscore the increasing significance of VR in education, particularly its profound impact on student motivation and critical thinking skills. This impact is supported by the heightened research activity and positive student responses observed in this bibliometric analysis. The novelty of this study lies in its exploration of global dynamics in VR-CTS. Partial Least Squares Structural Equation Modeling (PLS-SEM) confirms that virtual reality exerts a significant influence on student responses, demonstrating its potential to analyze the complex relationship between VR-CTS and student outcomes.",10.1145/3678726.3678759,Conference Paper,,Indonesia,Yogyakarta State University| Universitas Negeri Surabaya,,,FALSE,Bibliometric; Critical Thinkings Skills; PLS-SEM; Student Response'; Virtual Reality
Predictive Analytic Healthcare Sector Using Classification Machine Learning Algorithm,"Ros Maryana Sinaga, A.S.| Putra, R.E.",57193870569| 56038565900,2022,"Proceeding - 2022 International Symposium on Information Technology and Digital Innovation: Technology Innovation During Pandemic, ISITDI 2022",English,-,-,-,Physical Sciences| Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85143200568&origin=resultslist,"There is a wealth of data that can be used to improve public health services by leveraging machine intelligence technology. The problem that arises is the distribution of unstructured data, not detailed and incomplete. In this study, data is processed with the machine learning algorithm classification stages that are tailored to the case and the objectives to be achieved. This Big Data Analytics model uses Descriptive analytics in combination with Predictive Analytics to work by looking at future situations in relation to past data. Prescriptive Analytics tries to analyze decision making to deal with this condition. Predictive analytics aims to analyze what patterns emerge in the health sector to improve health services. The Naive Bayes classifier is used to classify whether a patient will return for treatment or not, based on the village area the probability of returning to treatment is 0.40 and not returning to treatment is 0.60. Of the 13 health indicators, the data are grouped into 2 classes, namely fulfilled and unfulfilled by using a type of algorithm that includes the SVM Classifier. The model is same to have perfect prediction accuracy if the AUC value is 0.90. The best test model is Coarse Gaussian SVM result 90.1%. Grouping through decision trees aims to inform the adequacy of tree forecast accuracy = 97.9%, Linear Regression = 96.6%.",10.1109/ISITDI55734.2022.9944492,Conference Paper,,Indonesia,Universitas Negeri Surabaya,,,FALSE,classification algorithms; healthcare; machine learning; prediction; predictive analytic
The Effectiveness of Learning Management System (LMS) as a Learner Self-Service-based Platform in Community Learning Center (CLC),"Raharjo, K.M.| Widyaswari, M.| Dayati, U.",57216221614| 57221395957| 57203760588,2022,"Proceedings - 2022 2nd International Conference on Information Technology and Education, ICIT and E 2022",English,-,-,-,Physical Sciences| Computer Science| Engineering| Education Studies,https://www.scopus.com/record/display.url?eid=2-s2.0-85129994419&origin=resultslist,"This study aims to test the effectiveness of the learning management system (LMS) as a platform based on learner self-service at the Community Learning Center (CLC). This study uses a quantitative approach with one group pretest-posttest. Respondents were 90 learners in PKBM Setia Mandiri with quota sampling technique. Data were collected in scores and analyzed using descriptive and inferential statistical analysis. The results showed that the learning management system (LMS) as a learner self-service-based platform effectively increased learner mastery, especially during distance learning. This finding is reinforced by the learner scores showing a pretest score of 48.49 compared to the posttest result of 78.41, with a significance (sig.) of 0.000 <0.05. Thus, a learning management system (LMS) can be an innovative learning platform that helps learners understand the material and form a learning society.",10.1109/ICITE54466.2022.9759884,Conference Paper,,Indonesia,State University of Malang| Universitas Negeri Surabaya,,,FALSE,CLC; learner self-service; LMS; platform
Using the Kinetic Magic Cursor in Education to Predict the Behavioral Intention in Using Technology,"Latief, S.| Suprapto, N.| Simorangkir, L.| Hendrayani, S.| Rahmah, R.",57875228700| 57163917500| 57875822000| 57875468200| 57875587500,2022,TEM Journal,English,1.9,50,0.231,Education Studies| Physical Sciences| Computer Science| Business and Economics,https://www.scopus.com/record/display.url?eid=2-s2.0-85137283459&origin=resultslist,"A Unified Theory of Acceptance and Use of Technology (UTAUT) is a theory to measure how far users accept technology. This paper presents Venkatesh’s theoretical framework and Unified Theory of Acceptance and Use of Technology (UTAUT2), which UTAUT extended. UTAUT2 was used to assess the user’s acceptance of the Kinetic Magic Cursor (KMC). UTAUT’s theoretical framework has eight dimensions to predict behavioral intention in using technology. These dimensions of the UTAUT2 consist of performance expectation, social influence, hedonic motivation, effort expectancy, facilitating condition, habit, price value, and behavioral intentions. This study aimed to analyze the UTAUT2 by the genders among undergraduate students in Taiwan. UTAUT2 was used as a theoretical framework and Analytic Hierarchy Process (AHP) with expert choice 11.5 to analyze the data. The study found no significant difference between female and male students in using technology. The validity of structure for male and female student performance in KMC has a slightly similar percentage in the effort expectancy and behavioral intentions; males were 17.7% and 13.1%, and females were 17.6% and 13.4%, respectively.",10.18421/TEM113-27,Article,Gold,Indonesia,Universitas Negeri Surabaya,,,FALSE,Behavioral intention; Kinetic magic cursor; Technology
Smart Integrated Patient Monitoring System Based Internet of Things,"Anifah, L.| Haryanto",55648855000| 57211095658,2022,"Proceeding - 6th International Conference on Information Technology, Information Systems and Electrical Engineering: Applying Data Sciences and Artificial Intelligence Technologies for Environmental Sustainability, ICITISEE 2022",English,-,-,-,Engineering| Computer Science| Physical Sciences,https://www.scopus.com/record/display.url?eid=2-s2.0-85150416202&origin=resultslist,"Some diseases today have a rapid and dangerous rate of transmission. This causes doctors or medical personnel have a high risk of transmission. It caused the need for a system that can monitor the patient's condition in order to minimize the risk of contacting medical personnel. The research aims to design and build an integrated IoT-based patient monitoring system that provided information about the patient's temperature, infusion fluid level, and heart rate. This system is equipped with a database of patient conditions and can be accessed by web-based users. This system is integrated between hardware, software, and IoT system, which allows users to access data (based on their respective roles) from various places, because they can access it via the internet. The research stages are hardware and software design, design implementation, software embedded system development, IoT design, system integration, and web development that is integrated with IoT. The system has been running well and patient's information can be accessed by the user. This system is also equipped with indicators of normal and abnormal conditions, so that medical personnel can anticipate early if there are conditions that are dangerous for patients. Even though Covid cases have decreased, technology is still needed, especially to be used to monitor the condition of patients who require intensive monitoring.",10.1109/ICITISEE57756.2022.10057876,Conference Paper,,Indonesia,University of Trunojoyo Madura| Universitas Negeri Surabaya,Lilik Anifah,55648855000,TRUE,Integrated; Internet of Things; Monitoring System; Patient; Smart
"Beyond Smart Devices: Fostering Critical, Communication and Collaborative Thinking in IoT-Based Sensor and Actuator Competence Learning Outcomes","Baskoro, F.| Suprianto, B.| Anifah, L.| Indriyani, Y.A.",57201862550| 8215287000| 55648855000| 58757764000,2023,TEM Journal,English,2.2,49,0.238,Physical Sciences| Computer Science| Business and Economics| Education Studies,https://www.scopus.com/record/display.url?eid=2-s2.0-85179424032&origin=resultslist,"This research aims to explore the level of critical and collaborative thinking among university students in IoT-based sensor and actuator competence courses in Surabaya during 2022-2023. This study employs quantitative research methods and utilizes the structural equation modeling approach with partial least squares algorithm for analysis. This paper aims to explore the intricate connections between critical thinking, communication skills, collaboration skills, and learning outcomes in the context of sensor and actuator competence by examining the existing research and exploring practical implications. Respondents comprise of 360 electrical engineering students in Surabaya currently taking sensor and actuator competencies in the 2022/2023 school year. The findings had significant role of collaborative learning in enhancing the association between critical thinking and learning outcomes, particularly in the affective and psychomotor domains. Collaborative learning can be considered an effective strategy to reinforce the connection between critical thinking and academic achievement in these two domains. The implications of this study have the potential to guide educational institutions in designing and implementing effective strategies for fostering critical and collaborative thinking skills among students in IoT-related fields.",10.18421/TEM124-52,Article,Gold,Indonesia,Universitas Negeri Surabaya,Lilik Anifah,55648855000,TRUE,Critical thinking; learning outcomes; path analysis; sensor and actuator
Understanding Public Perceptions of Digital Sharia Pawnshops in Indonesia: A Sentiment Analysis with Machine Learning,"Timur, Y.P.| Ridlwan, A.A.| Fikriyah, K.| Susilowati, F.D.| Rofiqo, A.",59202083500| 59539840400| 57208010028| 59540331200| 58811943000,2024,"2024 International Conference on Sustainable Islamic Business and Finance, SIBF 2024",English,-,-,-,Computer Science| Engineering| Social Sciences| Business and Economics,https://www.scopus.com/record/display.url?eid=2-s2.0-86000200890&origin=resultslist,"This study aims to identify public sentiment toward digital sharia pawnshop application in Indonesia. This research uses a qualitative method with a sentiment analysis approach with the help of orange data mining. The data used are reviews of the Pegadaian sharia digital application from the google play store taken from January 1, 2022 to January 1, 2024. The total review data used in this study is 2.786 reviews. The results showed that the three most frequently occurring words are 'aplikasi', ''pengguna', and 'Google. In addition, reviews are dominated by statements that have positive (1,258 reviews) where there are various words describing the beneficial features provided by the app such as 'emas', 'membantu', 'tabungan', 'transaksi', 'cepat', and ''pembayaran'. On the other hand, there are also some words that have a tendency to have negative sentiments (794 reviews) such as 'error', 'susah', dan 'gagal'. This research is limited by the use of google play store review data from three years ago, before the release of Pegadaian sharia digital application. For future research, researchers advise reidentifying the sentiment of the Pegadaian sharia digital application after 3 years, 4 years, etc., to compare sentiment changes.",10.1109/SIBF63788.2024.10883859,Conference Paper,,Indonesia,Universitas Negeri Surabaya,,,FALSE,google play store; machine learning; reviews; sentiment analysis; sharia pawnshop
Brain Tumor Classification Using Deep Neural Network Based on MRI Images,"Tjahyaningtijas, H.P.A.| Suciningtyas, L.| Nugroho, A.K.| Angkoso, C.V.| Rakhmawati, L.| Rokhmawati, N.",58028094300| 57976270700| 57211432400| 57191037824| 57200562830| 57977008200,2022,"2022 5th International Conference on Vocational Education and Electrical Engineering: The Future of Electrical Engineering, Informatics, and Educational Technology Through the Freedom of Study in the Post-Pandemic Era, ICVEE 2022 - Proceeding",English,-,-,-,Engineering| Education Studies| Computer Science| Physical Sciences,https://www.scopus.com/record/display.url?eid=2-s2.0-85142418970&origin=resultslist,"Deep learning is a part of machine learning that has been shown to address challenges in the artificial intelligence field. To express complicated relationships, traditional machine learning methods such as Support Vector Machine (SVM and k-Nearest Neighbor (kNN) require a high number of nodes. In this study, we employ Deep Neural Network (DNN) as a brain tumor classification approach since it can efficiently handle difficult problems without the usage of a large number of nodes like SVM and kNN. This research used MRI scans from the BraTS data set with a total of 112 low grade glioma (LGG) and high grade glioma (HGG). The study was divided into four stages: segmentation applied the U-Net-based segmentation approach, image feature extraction using gray level co-occurrence matrix (GLCM), gray level run length matrix (GLRLM), and gray level size zone matrix (GLSZM) in the second stage, in the third stage we applied the Max-Min normalization method, in the fourth stage we utilized info gain ratio as a scoring method. Finally, the DNN classification approach is compared to the SVM classification method. The classification approach with DNN has a greater accuracy value of 2.75 percent than SVM.",10.1109/ICVEE57061.2022.9930354,Conference Paper,,Indonesia,Universitas Negeri Surabaya| University of Trunojoyo Madura,Lusia Rakhmawati,57200562830,TRUE,GLCM; GLRLM; GLSZM; Max-min normalization; Support Vector Machine
Development of Automatic Fuel Meter Trainer Control System Using Microcontroller,"Utama, F.Y.| Sari, Z.L.D.",57200564132| 57491849300,2021,ICRACOS 2021 - 2021 3rd International Conference on Research and Academic Community Services: Sustainable Innovation in Research and Community Services for Better Quality of Life towards Society 5,English,-,-,-,Computer Science| Business and Economics,https://www.scopus.com/record/display.url?eid=2-s2.0-85126560674&origin=resultslist,"The actual fuel consumption measurement tool already exists, but the work system in calculating fuel consumption from this is done by using visual sensing parameters, namely conditioning the motor rpm at a certain position and calculating how much fuel volume is reduced in units of time using a stopwatch. This method causes the reading process to be inaccurate and still depends on the human accuracy itself which is influenced by factors of concentration, fatigue, reading response, and others. Therefore, an Automatic Fuel Meter is designed to be the solution to this problem. The purpose of this research is to design and create an automatic control system that can calculate fuel consumption on the trainer using a microcontroller with available mechanical trainers. The results of this study are an Automatic Fuel Meter using an Arduino Nano controller as a controller, an infrared sensor is used as a timer or timer for fuel consumption. The work algorithm carried out in calculating fuel consumption has 3 stages, namely the filling stage, the reading stage, and the data calculation stage. The Auto Fuel Gauge can calculate fuel consumption with a sought precision value of a known standard deviation of 0.194366778. So that the percentage value of the coefficient of variation is 1.7057198596%1.7%. Response time from the infrared sensor takes 0, 202083 seconds on the test on pertalite fuel and 0, 200521 seconds on Pertamax fuel.",10.1109/ICRACOS53680.2021.9701985,Conference Paper,,Indonesia,Universitas Negeri Surabaya,,,FALSE,Automatic Fuel Meter; Fuel Consumption Test; Infrared Sensor; Microcontroller
Enhanced Performance Triboelectric Nanogenerator with Strach Biopolymer Composite Interface Layer,"Ansori, A.| Widodo, T.D.| Soeparman, S.| Widhiyanuriyawan, D.",57207459555| 56258446700| 56469736100| 54406162400,2021,ICRACOS 2021 - 2021 3rd International Conference on Research and Academic Community Services: Sustainable Innovation in Research and Community Services for Better Quality of Life towards Society 5,English,-,-,-,Business and Economics| Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85126544561&origin=resultslist,"Triboelectric nanogenerator is a potential mechanical energy conversion technology developed for future energy conversion. The increase in TENG output power is affected by the dielectric film. In addition, the damage to the surface of the film becomes an obstacle to increasing the output power. In this study, we propose the structure of Composite Biopolymer Electrolytes which is an activation method of increasing the contact surface interface to maximize the output performance of TENG. Method of doping starch biopolymer matrix with metal oxide TiO2. The doping effect of TiO2 nanoparticles increases physical resistance, increasing surface roughness which allows air voids between the two contact surfaces during electrification contact. The results showed that the starch-TiO2 textbf electrolyte biopolymer composite film had a rougher surface than the starch film with Ra values of 380 nm and 195 nm and Rq 495 nm and 250 nm, triboelectrification process is improved with an output performance effect of 170 mW.m-2",10.1109/ICRACOS53680.2021.9701994,Conference Paper,,Indonesia,Brawijaya University| Universitas Negeri Surabaya,,,FALSE,composite biopolymer; contact interface; starch-TiO; triboelectric nanogenerator
Utilizing Games to Enhance the Learning of Students with Dyslexia: A Systematic Literature Review,"Ekawati, R.| Wasis, W.| Shodikin, A.| Fiangga, S.| Chen, J.-C.",57210812993| 59380709900| 57207958861| 57200376163| 59380863000,2024,TEM Journal,English,2.2,49,0.242,Computer Science| Business and Economics| Physical Sciences| Education Studies,https://www.scopus.com/record/display.url?eid=2-s2.0-85207277207&origin=resultslist,"While discussions about the learning experiences of dyslexic students have been extensive, the exploration of interventions to address their learning obstacles using technology remains unresolved. This study aims to unpack the pattern use of games to enhance the learning of students with dyslexia using a systematic literature review of thirty-nine articles. The analysis findings reveal a notable increase in interest over the past decade in publications focusing on the utilization of games to enhance the learning experiences of students with dyslexia across various grade levels. The utilization is delineated in ways that exploring innovative approaches to enhance reading skills in dyslexic students through engaging and playful methods gives significant potential progress. The empirical results specifically indicate that employing playful strategies contributes to the enjoyment, motivation, and active participation of students with dyslexia. These can enhance reading skills by bolstering linguistic competence, improving working memory, and enhancing executive functions, thereby significantly supporting the learning process. The encouraging progress in utilizing games to enhance the learning of students with dyslexia underscores the need for research aimed at optimizing both cognitive and non-cognitive factors in their learning experiences.",10.18421/TEM133-37,Article,Gold,Taiwan| Indonesia,National Taipei University of Education| Universitas Negeri Surabaya,,,FALSE,Dyslexia; game; individuals with special needs; initial skills; learning
