Title,Authors,Abstract,Year,Publisher,Link,Author Keywords
Probabilistic-based Text Clustering for Optimizing Mental Health Issues Extraction on Social Media,"Yustanti, W.; Utami, A.W.; Palupi, G.S.; Nautika, P.S.","This study investigated mental health issues in the context of conversations on the social media platform Twitter. Data was collected over the last three years with the keywords mental health, suicide, and depression. The research method uses text mining with the Latent Dirichlet Allocation model. The results of the analysis have been able to identify 8 main topics based on high coherence scores. The dominant topic found on social media Twitter is about religious (20%) and social perspectives on suicide (14,7%). These findings indicate that Twitter conversations often reflect debate and reflection on how religious values and social views affect the perception and treatment of mental health problems, especially suicide. The study provides in-depth insights into the dynamics of online conversations around mental health on social media, highlighting the complexity of the interaction between religious, social, and mental health factors in a digital context. The implications of this study can be used as a basis for the development of more sensitive and effective intervention strategies and communication approaches in overcoming stigmatization and increasing public understanding of mental health issues, especially those related to suicide. The validation of the LDA model for the topic instruction task showed an interpretation accuracy of 83% for word tasks and 87% for topic tasks. This suggests that the LDA model is highly effective in identifying mental health issues, with an accuracy exceeding 80% when aligned with respondents' views. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217042938&doi=10.1109%2FICVEE63912.2024.10823692&partnerID=40&md5=bcf7d7d8aae1bec6bbea7dc508c24f02,
Utilizing Usability Testing for User Interface Improvement: Case Study on Unesa's Academic Mobile Application,"Shinta, F.N.; Putra, V.P.; Rashidan, D.F.; Athallah, M.Z.; Annisa, F.Q.; Kurniawan, I.F.","Surabaya State University (Unesa) utilizes modern information technology through an academic service system, Siakadu Mobile Application, to enhance efficiency and effectiveness in academic and administrative processes. Motivated by the application's importance, this study evaluates users' experiences completing academic activities and proposes visual improvements. Features such as uploading assignments and learning materials, checking similarity reports, and reminding assignment deadines are crucial to both lecturers and students; hence, they become this study's main objects. This study then carries out a user-centric pipeline centred on users' needs and feedback to improve users' satisfaction and the application's efficiency. Throughout the research process, evaluation processes, encompassing interviews, observations, and hands-on trials with users, provide valuable insights that guided the development of questionnaires targeting data visualization and application effectiveness. Upon completing the assessment and prototyping, our findings indicate significant improvements in user engagement and task management efficiency, underscoring the application's impact on academic processes. These results further suggest that ongoing user feedback is crucial for continuous enhancement. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217014811&doi=10.1109%2FICVEE63912.2024.10823907&partnerID=40&md5=f7ed8df43f2a8f901f00ae366415921f,
Comparative Study of Graph Neural Networks for Device Classification in Social IoT,"Kurniawan, I.F.; Nuraini, U.S.; Puspitaningayu, P.","The Social Internet of Things (SIoT) integrates the principles of social networks with the Internet of Things, enabling devices to interact based on social relationships. The information network produced from such connectivity has shown efficient query processing and collaborative tasks. Motivated by these characteristics and prospects of such a compiled relationship, this work studies the construction of a graph-compatible dataset from a public IoT platform's access records for device classification. The proposed graph-formatted dataset-building process utilises a two-level time-based approach. The first level uses a time-based resampling mechanism for graph definition, while the second one exploits nodes' historical co-location records for functional connectivity. Following the dataset construction, this work studies the performance of Graph Neural Networks (GNN) to predict a device type by employing two operators for node classification problems, e.g., Graph Convolutional Networks (GCN) and GraphSAGE. Our results show that models utilised both graph operators achieve satisfactory results, with an accuracy ≥ 0.8 and an F1-score ≥q 0.7 on validation and test sets defined. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215292793&doi=10.1109%2FISCT62336.2024.10791250&partnerID=40&md5=c68acfc41cf630a3d7bcbb9009478a11,
AI ChatGPT in Academic Information Technology Engineering to Increase the Engagement of Extracurricular Performance from Students with Disabilities,"Husin, N.; Safitri, A.; Rahman, M.; Kharisma, F.; Rauf, U.A.A.","Artificial Intelligence (AI) with Natural Language Processing (NLP) has grown rapidly in its usage in many fields. One area it's extensively used is in the academic activity for learning purposes. However, its use in the academic field regarding extracurricular activities for disabled students remains scarce. This research aims to create a procedure and design framework for implementing ChatGPT as a tool with IT Engineering to support disabled students in extracurricular activities. The analysis of student feedback will also be used to revise the procedure and the design framework further. With it, the disabled student will be able to carry out their task closely with the normal students. The procedure and framework from the research result could also be used as a reference for other campuses to help their disabled student in the extracurricular program. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214939030&doi=10.1109%2FCITSM64103.2024.10775598&partnerID=40&md5=601acfadcf206fa56ef6b5cafb228acd,
Technology Readiness Measurement in Middle-Level School Learning for Business Process Reengineering to Support Digital Learning,"Husin, N.; Kharisma, F.; Hadi, H.K.; Arifah, I.D.C.","Implementing Information and Communication Technologies (ICT) in education is inevitable. However, since the implementation of ICT is not cheap and could take many resources, many aspects must be considered. Much research shows that top management support and good information technology (IT) design are important factors in the six steps of IT implementation to support digital learning in reengineering business processes. But almost none or few take the digital readiness of the educational workforce relation for the successful IT implementation in education into account. So this paper finds out how the digital readiness on education relates to IT transformation to support Digital Learning and what instrument should be prepared and revised to support it. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214905791&doi=10.1109%2FCITSM64103.2024.10775662&partnerID=40&md5=c681cc8ad1c54edc0e70f89e0db4a16b,
Harnessing the Power of Transformer Networks in AI-Driven Decision Support Systems for Badminton Action Recognition,"Dhenabayu, R.; Husin, N.; Fazlurrahman, H.; Fitro, A.","This research explores the application of hybrid transformer networks for video-based action recognition in sports specifically for badminton. This research aims to capture and classify badminton player movements with high accuracy. The novelty of this study lies in its hybrid transformer approach, a sophisticated blend of transformer architectures and self-supervised pretraining tasks, designed to process sequential image data, leveraging the spatial-temporal capabilities of transformer models to enhance feature extraction and reduce computational complexity. Initial experiments were conducted using a curated VideoBadminton dataset, achieving 86.2% CS accuracy and 92.9% CV accuracy, a promising increase in precision compared to traditional convolutional neural networks. This breakthrough indicates that hybrid transformer networks can significantly improve the accuracy in video-based badminton action recognition. The findings suggest a scalable path forward for integrating advanced AI methodologies into sports analytics for AI driven decision support system, offering substantial benefits for performance assessment and athlete development. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214905420&doi=10.1109%2FCITSM64103.2024.10775332&partnerID=40&md5=b17164e65f16542a5499282f243ef58e,
A Text Mining Analysis of Social Media Criticisms on Tuition Fee Policies at State Universities in Indonesia,"Yustanti, W.; Wibawa, R.P.; Yamasari, Y.; Nurhidayat, A.I.","This study aims to identify public criticism on social media related to the residential tuition policy imposed in state universities in Indonesia. Knowing the public's criticism of the single tuition policy on social media can identify critical issues, understand the public sentiment, and provide insights for policy improvement. The benefits of the process can be used to improve the quality of policies, strengthen relations with the public, increase student satisfaction and welfare, and contribute to academic knowledge about policy analysis using social media. The data came from public comments about tuition fees on Twitter, You'Tube, Instagram, and TikTok platforms. The dataset was labeled as neutral, negative, and positive sentiment in the first step using IndoBERT's pre-trained model. The result of a negative sentiment of 62.26% from the dataset was then used for topic analysis using the Latent Dirichlet Allocation algorithm, and a different number of topics was obtained on each platform with topic compositions for Twitter, YouTube, Instagram, and TikTok of 10, 5, 2, 10 topics respectively. The results of the synthesis from all platforms concluded that seven themes are the main issues discussed in public criticism related to tuition fees, where the top three themes are criticism of government policies that increase tuition fees (48,60/0), corruption cases occur in state universities (20,3 %) and students' concerns about continuing their studies when there is an increase in tuition fees (12,5%). © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214648158&doi=10.1109%2FEECSI63442.2024.10776274&partnerID=40&md5=c7662ea1abb7c844940c094c147e9633,
IoT-Enabled Intelligent Garbage Management System for Smart City: A Fairness Perspective,"Rahman, M.A.; Tan, S.W.; Asyhari, A.T.; Kurniawan, I.F.; Alenazi, M.J.F.; Uddin, M.","Waste management has been identified as a critical problem underpinning the vision of sustainable cities. Despite existing efforts to tackle this challenge, traditional approaches still undermine resource allocation and utilization for the task. Most methods have overlooked the fairness problem found in the garbage-collection transportation units, producing noticeable varying active time differences among the participating units. The integration of Internet of Things (IoT) to waste management has recently been an emerging trend, which offers coordinated garbage collection benefiting from IoT networks. This work investigates utilization of LoRa technology for such a purpose and argues the importance of fairness perspective in actuating the truck agents for collecting the wastes in a given region. Through enabling reliable waste data exchange by a proper design and specification of the LoRa network, we can then cast the collection issue as a capacitated vehicle routing problem with a well-formulated objective function. To improve the fairness in the waste management, we propose an objective function that incorporates both the total distance covered by all the trucks and overall distance dispersion from individual trucks. Numerical simulation demonstrates the superiority and consistency of the fairness-based optimum solution in both minimizing the total distance and achieving the fairness. © 2013 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196075263&doi=10.1109%2FACCESS.2024.3412098&partnerID=40&md5=b9965a328ad8312aa0fcac7994379016,
Revolutionizing Data Management through Cloud-Based Data Fusion Platforms in Distributed Network Architectures,"Sujatmiko, B.; Khan, M.A.; Mishra, V.P.; Charitha, B.N.S.B.; Jadhav, D.S.; Sudan, P.","Data management is developing rapidly, and we need solutions that can handle massive volumes of diverse data. Especially for cloud-based data fusion and global network designs. Our research offers a fresh solution. Each difficult formula in this manner improves the system. Standardizing, matching, translating, and merging data from several sources is the fundamental strategy for data integration and management. We found that this alternative is superior to standard data management systems for growing, working fast, consistently, securely, and accurately integrating data, as well as cost-effectiveness. Data's visual presentation enhances the method's advantages and shows its potential. This research proves the technique works and illustrates how it may be utilized to advance the field. Supporting today's sophisticated data systems is a major advance. It's a solid, scalable data management solution that can evolve. © 2024, American Scientific Publishing Group (ASPG). All rights reserved.",2024,American Scientific Publishing Group (ASPG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192191749&doi=10.54216%2FFPA.150119&partnerID=40&md5=57570424771670e62acfab0b6bcfc13e,
"Metaverse User Experience, Customer Engagement, and Brand Awareness Relation as SMEs Marketing Strategies in Virtual Worlds","Safitri, A.; Husin, N.; Arifah, I.D.; Dewi, R.S.; Kharisma, F.; Kautsar, A.","The application of the metaverse in business can be seen as an emerging application of media in communication technology especially marketing via new media technology, such as virtual reality. However, does the application of the metaverse to market products, especially in the fashion industry on a smaller business scale which uses simple metaverse tools, also have a positive effect on the product brand? Based on this, we want to see the relationship between variables related to the use of metaverse seen from the customer's perspective, namely metaverse user experience, customer engagement, and brand awareness in case studies of product marketing using metaverse carried out by the SME's industry in the fashion sector. Different from previous research, this research is action research that uses a simple metaverse application especially a virtual world to market fashion products in SME businesses, to see how it affects brand awareness of the products. This research was analyzed quantitatively to look at the relationship between metaverse user experience and brand awareness through the mediation of customer engagement. By using SMART PLS as a tool, we looked at the relationships between these variables among the 90 respondents we got. From the results we got, the metaverse user experience variable has a positive relationship with brand awareness through the mediation of customer engagement. The metaverse, especially the virtual world, is applied as a marketing strategy to increase brand awareness of fashion products in the SME business environment based on those variables. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190542011&doi=10.1109%2FICETSIS61505.2024.10459506&partnerID=40&md5=f82010e6889a3b02f223b06f26c3250f,
