Authors,Author IDs,Title,Year,Journal,Link,Abstract,Keywords,Document Type,DOI,TLDR,citation_id,scholar_id,dosen,source,Scraped_By_Pipeline
Yuni Yamasari,hn5jrnAAAAAJ,Sistem Rekomendasi Tempat Wisata Di Gresik Dengan Implementasi Algoritma Multi-Attribute Decision Making (Madm),2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 688-695, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:xtRiw3GOFMkC,"Abstrak— Perkembangan teknologi berdampak signifikan pada sektor pariwisata. Gresik, dengan potensi alam, sejarah, dan budaya yang kaya, menghadirkan tantangan dalam memilih destinasi wisata yang sesuai. Sistem pendukung sebuah keputusan (SPK) menjadi penting untuk memudahkan proses ini. Penelitian ini membandingkan dua metode SPK, yaitu Analytic Hierarchy Process (AHP) dan  Metode Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS), dalam memilih tempat wisata di Gresik. Kedua metode dibandingkan berdasarkan variabel jarak, rating, dan jumlah pengunjung, serta kecepatan dan efisiensi eksekusi. Hasilnya diharapkan memberikan wawasan tentang efektivitas masing-masing metode dan berkontribusi pada pengembangan sistem informasi pemilihan tempat wisata yang lebih optimal di Gresik. 
  
Kata kunci: sistem pendukung keputusan, AHP, TOPSIS, pariwisata, Gresik.","sistem pendukung keputusan, AHP, TOPSIS, pariwisata, Gresik",JournalArticle,10.26740/jinacs.v6n03.p688-695,"This study compares two decision-making methods, Analytic Hierarchy Process (AHP) and Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS), in selecting tourist destinations in Gresik based on variables such as distance, ratings, visitor numbers, speed, and efficiency, aiming to provide insights into the effectiveness of each method and contribute to optimizing tourism information systems in Gresik.",hn5jrnAAAAAJ:xtRiw3GOFMkC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Klasifikasi Emosi Ulasan Produk E-Commerce Menggunakan Support Vector Machine,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 606-616, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:NhqRSupF_l8C,"Abstrak— Ulasan pada e-commerce dapat mempengaruhi keputusan pembeli dan menunjukkan emosi pembeli terhadap produk yang mereka beli. Namun, analisis terhadap ulasan dalam e-commerce tersebut tidak mudah jika dilakukan secara manual. Oleh karena itu, penelitian ini memfokuskan domain tersebut dengan Support Vector Machine (SVM). Lebih lanjut, penelitian ini mengeksplorasi kernel dari SVM, yaitu: linear, polynomial, RBF, dan sigmoid. Nilai evaluasi tertinggi yang SVM tanpa data resampling untuk accuracy diraih oleh SVM kernel Linear dan Sigmoid sebesar 66.30. Precision, recall, dan f1-score diraih oleh SVM kernel Sigmoid dengan masing-masing 66.00, 62.12, dan 62.91. Untuk data resampling, accuracy dan precision tertinggi dicapai oleh SVM kernel RBF dengan nilai 61.97 dan 62.04. Sedangkan, nilai recall dan f1-score dengan data resampling diraih oleh SVM kernel Linear dengan nilai 65.19 dan 64.46. Berdasarkan kinerja secara kesesluruhan, accuracy tertinggi diraih oleh SVM kernel Linear dan Sigmoid, yaitu 66,30, precision tertinggi oleh SVM kernel RBF, yaitu 67,25, recall tertinggi oleh SVM kernel Sigmoid, yaitu 62,12, dan f1-score tertinggi oleh SVM kernel Sigmoid, yaitu 62,91.
 
Kata Kunci— Klasifikasi, Support Vector Machine, kernel, emosi, ulasan","Klasifikasi, Support Vector Machine, kernel, emosi, ulasan Downloads Download data",JournalArticle,10.26740/jinacs.v6n03.p606-616,"This study investigates the use of Support Vector Machines (SVM) for sentiment analysis in online shopping reviews using various kernels such as linear, polynomial, radial basis function (RBF), and sigmoid, achieving high accuracy and performance metrics including precision, recall, and F1-score.",hn5jrnAAAAAJ:NhqRSupF_l8C,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Pengembangan Website E-Ticketing Multi-Platform Dan Algoritma Non-Iteratif Di Sampoerna Academy Surabaya,2024,"Journal of Informatics and Computer Science (JINACS) 6 (02), 510-521, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:b0M2c_1WBrUC,"views: 70 , PDF Downloads: 137 Submission Submissions menu Menu Focus and Scope Author Guidelines Publication Ethics Editorial Board Reviewer Abstracting and Indexing Contact Us coba Acreditation template Template statistic Visitor Statistics View My Stats tool Tools Alamat kantor Journal of Informatics and Computer Science (JINACS) Gedung A10 Jurusan Teknik Informatika, Fakultas Teknik, Universitas Negeri Surabaya Jl. Ketintang, Ketintang, Kec. Gayungan, Kota Surabaya, Jawa Timur 60231 jinacs@unesa.ac.id Jurnal ini diterbitkan dengan University Open Journal System , Universitas Negeri Surabaya Copyright Journal of Informatics and Computer Science (JINACS) ( e-ISSN: 2686-2220 ).","Computer science, World Wide Web, Human–computer interaction",JournalArticle,10.26740/jinacs.v6n02.p510-521,,hn5jrnAAAAAJ:b0M2c_1WBrUC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
"Achmad Kautsar, Yuni Yamasari",bTjH6IgAAAAJ;hn5jrnAAAAAJ,Eksplorasi Teknik Pre-Processing Berbasis Extreme Gradient Boosting (Xgboost) Pada Klasifikasi Kredit Default,2024,"Journal of Informatics and Computer Science (JINACS) 6 (02), 453-464, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:EUQCXRtRnyEC,"views: 94 , PDF Downloads: 205 Submission Submissions menu Menu Focus and Scope Author Guidelines Publication Ethics Editorial Board Reviewer Abstracting and Indexing Contact Us coba Acreditation template Template statistic Visitor Statistics View My Stats tool Tools Alamat kantor Journal of Informatics and Computer Science (JINACS) Gedung A10 Jurusan Teknik Informatika, Fakultas Teknik, Universitas Negeri Surabaya Jl. Ketintang, Ketintang, Kec. Gayungan, Kota Surabaya, Jawa Timur 60231 jinacs@unesa.ac.id Jurnal ini diterbitkan dengan University Open Journal System , Universitas Negeri Surabaya Copyright Journal of Informatics and Computer Science (JINACS) ( e-ISSN: 2686-2220 ).",Computer science,JournalArticle,10.26740/jinacs.v6n02.p453-464,,hn5jrnAAAAAJ:EUQCXRtRnyEC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Perbandingan Metode Svm Dengan Decision Tree Untuk Analisis Sentimen Ulasan Aplikasi Carousell,2024,"Journal of Informatics and Computer Science (JINACS) 6 (01), 66-76, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:_xSYboBqXhAC,"views: 195 , PDF Downloads: 278 Submission Submissions menu Menu Focus and Scope Author Guidelines Publication Ethics Editorial Board Reviewer Abstracting and Indexing Contact Us coba Acreditation template Template statistic Visitor Statistics View My Stats tool Tools Alamat kantor Journal of Informatics and Computer Science (JINACS) Gedung A10 Jurusan Teknik Informatika, Fakultas Teknik, Universitas Negeri Surabaya Jl. Ketintang, Ketintang, Kec. Gayungan, Kota Surabaya, Jawa Timur 60231 jinacs@unesa.ac.id Jurnal ini diterbitkan dengan University Open Journal System , Universitas Negeri Surabaya Copyright Journal of Informatics and Computer Science (JINACS) ( e-ISSN: 2686-2220 ).",Computer science,JournalArticle,10.26740/jinacs.v6n01.p66-76,,hn5jrnAAAAAJ:_xSYboBqXhAC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Eksplorasi Fitur Seleksi Pada Svm Dan Random Forest Dalam Analisis Sentimen Aplikasi Gopay,2024,"Journal of Informatics and Computer Science (JINACS) 6 (01), 55-65, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:bFI3QPDXJZMC,"views: 216 , PDF Downloads: 317 Submission Submissions menu Menu Focus and Scope Author Guidelines Publication Ethics Editorial Board Reviewer Abstracting and Indexing Contact Us coba Acreditation template Template statistic Visitor Statistics View My Stats tool Tools Alamat kantor Journal of Informatics and Computer Science (JINACS) Gedung A10 Jurusan Teknik Informatika, Fakultas Teknik, Universitas Negeri Surabaya Jl. Ketintang, Ketintang, Kec. Gayungan, Kota Surabaya, Jawa Timur 60231 jinacs@unesa.ac.id Jurnal ini diterbitkan dengan University Open Journal System , Universitas Negeri Surabaya Copyright Journal of Informatics and Computer Science (JINACS) ( e-ISSN: 2686-2220 ).",Biology,JournalArticle,10.26740/jinacs.v6n01.p55-65,,hn5jrnAAAAAJ:bFI3QPDXJZMC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Algoritma Madm Pada Sistem Pendukung Keputusan Untuk Peminjam Ruang Rapat Berbasis Website,2024,"Journal of Informatics and Computer Science (JINACS) 6 (01), 30-38, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:f2IySw72cVMC,"views: 96 , PDF Downloads: 114 Submission Submissions menu Menu Focus and Scope Author Guidelines Publication Ethics Editorial Board Reviewer Abstracting and Indexing Contact Us coba Acreditation template Template statistic Visitor Statistics View My Stats tool Tools Alamat kantor Journal of Informatics and Computer Science (JINACS) Gedung A10 Jurusan Teknik Informatika, Fakultas Teknik, Universitas Negeri Surabaya Jl. Ketintang, Ketintang, Kec. Gayungan, Kota Surabaya, Jawa Timur 60231 jinacs@unesa.ac.id Jurnal ini diterbitkan dengan University Open Journal System , Universitas Negeri Surabaya Copyright Journal of Informatics and Computer Science (JINACS) ( e-ISSN: 2686-2220 ).","Computer science, Operating system, Database",JournalArticle,10.26740/jinacs.v6n01.p30-38,,hn5jrnAAAAAJ:f2IySw72cVMC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Implementasi Data Mining Untuk Pengelompokan Kunjungan Wisata Di Kabupaten Mojokerto,2024,"Journal of Informatics and Computer Science (JINACS) 6 (01), 22-29, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:pyW8ca7W8N0C,"views: 187 , PDF Downloads: 175 Submission Submissions menu Menu Focus and Scope Author Guidelines Publication Ethics Editorial Board Reviewer Abstracting and Indexing Contact Us coba Acreditation template Template statistic Visitor Statistics View My Stats tool Tools Alamat kantor Journal of Informatics and Computer Science (JINACS) Gedung A10 Jurusan Teknik Informatika, Fakultas Teknik, Universitas Negeri Surabaya Jl. Ketintang, Ketintang, Kec. Gayungan, Kota Surabaya, Jawa Timur 60231 jinacs@unesa.ac.id Jurnal ini diterbitkan dengan University Open Journal System , Universitas Negeri Surabaya Copyright Journal of Informatics and Computer Science (JINACS) ( e-ISSN: 2686-2220 ).","Mathematics, Combinatorics",JournalArticle,10.26740/jinacs.v6n01.p22-29,,hn5jrnAAAAAJ:pyW8ca7W8N0C,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Pengembangan Website Pergudangan Berbasis Fifo Untuk Optimalisasi Persediaan Barang Di Lmi Pusat Surabaya,2024,"Journal of Informatics and Computer Science (JINACS) 5 (04), 635-645, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:D03iK_w7-QYC,"Abstrak—Pengelolaan persediaan barang di Lembaga Manajemen Infaq (LMI) memiliki beberapa tantangan. Tantangannya berupa kurangnya efisiensi dan efektivitas dalam pengelolaan stok. Selain itu, pengelompokan barang dan penanda belum ada sehingga kondisi ini menyebabkan barang sulit dicari dan memperlambat proses pengambilan. Barang yang tidak terdeteksi keberadaannya di gudang berpotensi tertimbun dan menjadi usang. Permasalahan semakin bertambah karena pencatatan terkait aktivitas barang masuk dan keluar yang belum digital yang menyebabkan kesalahan perhitungan. Kesalahan ini membuat jumlah stok di master barang menjadi tidak akurat. Dalam rangka mengatasi persoalan ini, peneliti membangun sebuah website pergudangan yang mengimplementasikan metode FIFO (First In First Out) agar manajemen persediaan barang dapat dioptimalkan. Metode FIFO dipilih karena mampu mengatur penyimpanan barang berdasarkan prinsip item pertama masuk maka item tersebut keluar lebih dulu. Sehingga penerapan metode ini dapat mengurangi risiko kerusakan barang dan mempermudah pemantauan barang dari aktivitas keluar dan masuknya barang. Hasil penelitian menunjukkan peningkatan efisiensi dan efektivitas pengelolaan persediaan barang di LMI. Optimalisasi diukur melalui peningkatan efisiensi operasional dan pengurangan risiko barang kadaluarsa atau usang. Lebih dari itu, penelitian ini juga melibatkan pengujian kualitas website dengan menggunakan standar ISO 9126. Pengujian menggunakan skala nilai 1 atau 2 menunjukkan persetujuan bahwa website sesuai standar, sedangkan nilai 3 atau 4 menunjukkan ketidaksesuaian. Hasil pengukuran menunjukkan bahwa website pergudangan yang dikembangkan mencapai tingkat kualitas yang sesuai dengan standar ISO 9126. Hal ini diindikasikan dengan nilai kesesuaian sebesar 1.83, yang artinya website tersebut memenuhi standar kualitas yang diharapkan. 
  
Kata Kunci— Stok, FIFO, gudang, monitoring, ISO 9126.","FIFO (computing and electronics), Forestry, Computer science, Operating system, Geography",JournalArticle,10.26740/jinacs.v5n04.p635-645,"The study aimed to develop a website for inventory management in the Islamic Finance Management Center (LMI) using the First-In-First-Out (FIFO) method to optimize stock management and reduce waste or obsolescence, ultimately improving operational efficiency and reducing risks associated with expired goods. The research utilized the International Organization for Standardization's (ISO) 9126 standard to evaluate the quality of the developed website, achieving a high level of conformity.",hn5jrnAAAAAJ:D03iK_w7-QYC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Klasifikasi Tingkat Stres Mahasiswa Menggunakan Rmsprop Untuk Arsitektur Artificial Neural Network,2024,"Journal of Informatics and Computer Science (JINACS) 5 (04), 560-567, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:a0OBvERweLwC,"Abstrak— Beratnya berbagai tuntutan yang dihadapi mahasiswa membuat mereka kerap mengalami gejala stres.   Gejala stres yang terus menerus dapat memperburuk keadaan psikis dan fisik mahasiswa yang pada akhirnya menyebabkan turunnya kinerja akademik mereka. Namun, gejala stres tidak dapat ditangani secara sembarangan. Perlu adanya penanganan gejala stres yang tepat yang disesuaikan dengan tingkat stres yang dialami. Untuk itu, pengklasifikasian tingkat stres mahasiswa sangat diperlukan untuk memberikan penanganan lebih lanjut yang tepat. Oleh karena itu, penelitian ini memfokuskan pada bagaimana cara mengklasifikasikan tingkat stres mahasiswa secara otomatis menggunakan teknologi Artificial Neural Network (ANN). Dalam penelitian ini, kinerja ANN ditingkatkan dengan melakukan pengujian terhadap RMSProp optimizer dengan berbagai variasi hyperparameter dan percobaan dengan dan tanpa oversampling SMOTE-N. Setelah pengujian dilakukan sebanyak 52 kali, hasil ujicoba memperlihatkan bahwa RMSProp dengan SMOTE-N lebih unggul dibanding RMSProp tanpa SMOTE-N. Akurasi RMSProp dengan SMOTE-N berhasil mencapai 96%, sedangkan akurasi RMSProp tanpa SMOTE-N sebesar 88% sehingga SMOTE-N pada model dapat meningkatkan kinerja sebesar 8%.  
  
Kata Kunci— klasifikasi, stres, mahasiswa, ANN, SMOTE-N","Artificial neural network, Artificial intelligence, Computer science",JournalArticle,10.26740/jinacs.v5n04.p560-567,Penelitian ini menunjukkan bahwa penggunaan metode klasifikasi tingkat stres mahasiswa melalui arsitektur Artificial Neural Network (ANN) dengan optimizer RMSProp dan oversampling SMOTE-N dapat meningkatkan kinerja prediksi menjadi 96% dengan akurasi yang lebih baik dibandingkan dengan versi biasa.,hn5jrnAAAAAJ:a0OBvERweLwC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Implementasi Deep Transfer Learning Untuk Klasifikasi Nominal Uang Kertas Rupiah,2024,"Journal of Informatics and Computer Science (JINACS) 5 (04), 543-551, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:yD5IFk8b50cC,"Penerapan teknologi otomatisasi dilakukan dalam proses transaksi jual beli menggunakan mesin sebagai perantara. Mesin tersebut bertindak sebagai penjual yang memiliki kemampuan serupa dengan otak manusia, termasuk kemampuan membaca dan mengenali nominal uang dengan cepat dan tepat. Penggunaan teknologi otomatisasi ini menjadi solusi kemudahan dalam kegiatan jual beli.  Untuk itu, penelitian ini memfokuskan pada pengenalan nominal mata uang kertas rupiah dengan menerapkan teknologi Deep Transfer Learning - algoritma Convolutional Neural Network (CNN). Lebih jauh, penelitian ini melakukan pemilihan arsitektur pretrained model yang sesuai dan penyesuaian nilai learning rate  yang dapat mempengaruhi kinerja model klasifikasi. Jumlah epoch yang optimal juga dipertimbangkan untuk memastikan model memiliki cukup kesempatan untuk belajar dari data pelatihan. Selain itu, penggunaan batch size yang dinilai paling ideal juga dieksplorasi karena hal ini dapat mempengaruhi tercapainya performa tinggi dengan waktu komputasi yang efisien. 
Hasil uji coba memperlihatkan bahwa model yang paling optimal dicapai ketika model dibangun dengan menggunakan pretrained model VGG16 dengan kombinasi hyperparameter learning rate 0.0001, batch size 20, dan 15 epochs. Kemudian, hasil evaluasi kinerja model saat pelatihan menunjukkan nilai rata-rata akurasi 94.29%, presisi 95.01%, recall 94.29%, f1-score 94.26%, dan AUC 99.84%. Setelah dilakukan testing dengan data uji diperoleh rata-rata nilai accuracy 92.86%, precision 94.07%, recall 92.86%, f1-score 93.03%, dan AUC 99.64%. 
  
Kata Kunci— Deep Transfer Learning, Convolutional Neural Network, VGG16, Klasifikasi, Uang Kertas Rupiah.",Computer science,JournalArticle,10.26740/jinacs.v5n04.p543-551,"This research focuses on implementing deep transfer learning for the classification of Indonesian paper currency using Convolutional Neural Networks (CNN) to automate the recognition process of banknotes, aiming to enhance transaction efficiency in automated systems.",hn5jrnAAAAAJ:yD5IFk8b50cC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Penerapan Madm-Electre Untuk Penerimaan Beasiswa Pemerintah Kabupaten Bojonegoro,2024,"Journal of Informatics and Computer Science (JINACS) 5 (04), 515-523, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:cFHS6HbyZ2cC,"Abstrak— Banyaknya program beasiswa saat ini tentu menarik minat pelajar maupun mahasiswa untuk melanjutkan pendidikan. Hal ini disebabkan oleh, sebagian besar bangsa ini tidak dapat melanjutkan pendidikan disebabkan oleh faktor ekonomi. Salah satu program beasiswa yang diselenggarakan oleh daerah untuk meningkatkan sumber daya manusia adalah beasiswa yang diselenggarakan oleh Dinas Pendidikan Kabupaten Bojonegoro. Namun, proses seleksi masih dilakukan secara manual, tentunya hal ini dapat menyebabkan penerima beasiswa tidak tepat sasaran juga meningkatkan kesalahan dari manusia karena banyaknya data yang harus diolah. Penelitian ini bertujuan untuk memberikan solusi untuk mengatasi permasalahan tersebut. 
Dalam simulasinya dalam penelitian menggunakan Metode ELECTRE. Hasil dari metode ELECTRE membutuhkan waktu 2,76408 untuk mengeksekusi data yang digunakan. Karena Metode ELECTRE bekerja dengan membandingkan masing-masing peserta berdasarkan atribut yang ada, sehingga dapat meningkatkan skor. Untuk hasil nilai terendah yang diperoleh peserta seleksi beasiswa yaitu  0,00 yang membuktikan bahwa pada studi kasus ini Metode ELECTRE memiliki angka kompetisi yang tinggi. 
  
Kata Kunci— Beasiswa, Metode ELECTRE, Pendidikan, Algoritma MADM","ELECTRE, Business, Psychology, Multiple-criteria decision analysis, Mathematics, Operations research",JournalArticle,10.26740/jinacs.v5n04.p515-523,"This study aims to implement the MADM-ELECTRE method for government-sponsored student scholarship selection in the district of Bojonegoro, Indonesia, by using a simulation process with the ELECTRE method, which requires 2.76408 hours to execute the used data. The results show that the lowest score obtained from the scholarship selection process is 0.00, indicating that the ELECTRE method has high competitiveness in this case.",hn5jrnAAAAAJ:cFHS6HbyZ2cC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Analisis Perbandingan Metode Pengenalan Wajah Untuk Absensi Online Dengan Knn Dan Local Binary Pattern Histogram (Lbph),2024,"Journal of Informatics and Computer Science (JINACS) 5 (04), 494-502, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:dfsIfKJdRG4C,"Abstrak— Pengenalan wajah merupakan bagian integral dari sistem biometrik yang banyak digunakan dalam berbagai aplikasi, termasuk dalam sistem absensi online. Penelitian ini bertujuan untuk membandingkan dua metode pengenalan wajah, yaitu k-Nearest Neighbor (KNN) dan Local Binary Pattern Histogram (LBPH), dalam konteks implementasi sistem absensi online. Dengan memanfaatkan data wajah dari 10 individu dengan masing-masing paling sedikit 100 citra wajah, penelitian ini melibatkan pengambilan data wajah secara realtime menggunakan webcam dan analisis performa metode KNN serta LBPH. Hasil pengujian menunjukkan bahwa metode KNN, dengan total 1011 wajah, mencapai akurasi terbaik sebesar 98,52% untuk pengenalan wajah. Sementara itu, metode LBPH memberikan hasil terbaik sebesar 81% untuk pencocokan wajah per individu. Dari hasil pengujian yang telah dilakukan menunjukkan bahwa akurasi yang dihasilkan dengan menggunakan metode KNN memiliki akurasi lebih baik dibandingkan LBPH. Penelitian ini memberikan pemahaman yang lebih baik tentang kecocokan dan keunggulan relatif dari kedua metode dalam konteks pengenalan wajah untuk tujuan absensi online. 
  
 Kata Kunci— Analisis, Pengenalan Wajah, K-Nearest Neighbor (KNN), Local Binary Pattern Histogram (LBPH), Sistem Absensi Online.","Pattern recognition (psychology), Computer science, Artificial intelligence",JournalArticle,10.26740/jinacs.v5n04.p494-502,"This study compares two facial recognition methods, K-Nearest Neighbor (KNN) and Local Binary Pattern Histogram (LBPH), for implementing an online attendance system using real-time webcam data from 10 individuals with at least 100 images each. The results show that the KNN method achieves the highest accuracy of 98.52%, while the LBPH method reaches 81%. This comparison highlights the strengths and weaknesses of both techniques in the context of facial recognition for online",hn5jrnAAAAAJ:dfsIfKJdRG4C,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
Yuni Yamasari,hn5jrnAAAAAJ,Klasifikasi Penyakit Stroke Dengan Metode Support Vector Machine (Svm),2024,"Journal of Informatics and Computer Science (JINACS) 5 (03), 440-446, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=hn5jrnAAAAAJ:fPk4N6BV_jEC,"Stroke adalah penyakit yang menyerang pada gangguan fungsi syaraf dan menyebabkan gangguan fungsi seperti gangguan penglihatan atau mata, bicara pelo atau cedal, mobilitas terbatas dan kelumpuhan pada wajah atau ekstremitas. Diseluruh dunia, stroke adalah penyakit ketiga yang menyebabkan gangguan syaraf. Untuk itu penelitian ini memfokuskan pada domain tersebut dengan tujuan untuk menemukan model terbaik. Ujicoba dilakukan dengan 14 skenario dan ukuran kinerja model akurasi, presisi dan recall. Selanjutnya, metode yang diterapkan adalah Support Vector Machine dengan kernel linear, polynomial, sigmoid dan RBF. Hasil klasifikasi memperlihatkan bahwa kernel linear menghasilkan nilai tinggi pada perbandingan 80:20, dengan nilai akurasi 75.73%, nilai presisi 74.07%, dan nilai recall 56.16%. Pada kernel RBF menghasilkan nilai tinggi pada perbandingan 90:10, dengan nilai akurasi 73.38%, nilai presisi 71.79% dan nilai recall 55.85%. Pada kernel polynomial menghasilkan nilai tinggi pada perbandingan 80:20, dengan nilai akurasi 78.86%, nilai presisi 73.98% dan nilai recall 56.75%. Kemudian pada kernel sigmoid menghasilkan nilai tinggi dengan perbandingan 10:90, yaitu dengan nilai akurasi 46.14%, nilai presisi 39.84% dan nilai recall 48.13%. Sehingga nilai tertinggi dari pengujian empat kernel dan dengan perbandingan 14 rasio, nilai tertinggi dihasilkan oleh kernel polynomial dengan nilai akurasi 78.86%, nilai presisi 73.98% dan nilai recall 56.75% pada perbandingan rasio 80:20.  
  
Kata Kunci— Stroke, Kernel Support Vector Machine, Klasifikasi","Support vector machine, Computer science, Artificial intelligence, Pattern recognition (psychology)",JournalArticle,10.26740/jinacs.v5n03.p440-446,"This study evaluates the performance of four different kernels in support vector machine for stroke classification using 14 scenarios with varying ratios, achieving the highest accuracy of 78.86% on a ratio of 80:20.",hn5jrnAAAAAJ:fPk4N6BV_jEC,hn5jrnAAAAAJ,"Dr. Yuni Yamasari, S.Kom., M.Kom.Dosen",scholar,True
