ID Sinta,Nama Dosen,Judul Penelitian,Ketua Penelitian,Sumber Dana,Anggota Penelitian,Tahun,Besar Dana,Status,Sumber
6008890,Ibnu Febry Kurniawan,Menstimulasi Keterampilan Berfikir Komputasi Mahasiswa Kependidikan Fakultas Teknik Universitas Negeri Surabaya,Ekohariadi,Penelitian Desentralisasi ( PDUPT ),Ricky Eka Putra; Nanik Estidarsani; Ibnu Febry Kurniawan; Ekohariadi,2018,Rp. 100.000.000,Approved,SIMLITABMAS SOURCE
6008890,Ibnu Febry Kurniawan,Menstimulasi Keterampilan Berfikir Komputasi Mahasiswa Kependidikan Fakultas Teknik Universitas Negeri Surabaya,Ekohariadi,Penelitian Desentralisasi ( PTUPT ),Ricky Eka Putra; Nanik Estidarsani; Ibnu Febry Kurniawan,2017,Rp. 98.713.000,Approved,SIMLITABMAS SOURCE
6008890,Ibnu Febry Kurniawan,Penerapan Green Laboratory sebagai Penunjang Praktikum di Laboratorium Jaringan Komputer.,Agus Prihanto,Penelitian Kompetitif Nasional ( PPT/Produk Terapan ),I Kadek Dwi Nuryana; Ibnu Febry Kurniawan,2016,Rp. 50.000.000,Approved,SIMLITABMAS SOURCE
6869762,Ulfa Siti Nuraini,SISTEM LAYANAN PERSURATAN BERBASIS WEB DENGAN DIGITAL SIGNATURE MENGGUNAKAN ALGORITMA ELLIPTIC CURVE CRYPTOGRAPHY (ECC),Yuliani Puji Astuti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Hasanuddin Al-habib; Ulfa Siti Nuraini,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
6869762,Ulfa Siti Nuraini,SEMANTIC SEGMENTATION OF POST-DISASTER AREA ON REMOTE SENSING VIDEO FROM UNMANNED AERIAL VEHICLE (UAV) USING SUPER RESOLUTION AND DEEP TRANSFER LEARNING DEEPLABV3 MODEL,Riskyana Dewi Intan Puspitasari,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Fadhilah Qalbi Annisa; Elly Matul Imah; Hasanuddin Al-habib; Ulfa Siti Nuraini; Ibnu Febry Kurniawan,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
6869762,Ulfa Siti Nuraini,SISTEM PELACAKAN OBJEK BERGERAK MENGGUNAKAN ALGORITMA MEAN SHIFT DAN OPTIMIZED FUZZY DECISION TREE DALAM VIDEO OLAHRAGA ( SPORTS VIDEO TRACKING ),Hasanuddin Al-habib,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Fadhilah Qalbi Annisa; Riskyana Dewi Intan Puspitasari; Ulfa Siti Nuraini,2024,Rp. 45.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,SISTEM LAYANAN PERSURATAN BERBASIS WEB DENGAN DIGITAL SIGNATURE MENGGUNAKAN ALGORITMA ELLIPTIC CURVE CRYPTOGRAPHY (ECC),Yuliani Puji Astuti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Hasanuddin Al-habib; Ulfa Siti Nuraini,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,DETEKSI GEMPA BERDASARKAN SINYAL SEISMIK MENGGUNAKAN MACHINE LEARNING,Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Fadhilah Qalbi Annisa; Yuliani Puji Astuti; Ibnu Febry Kurniawan,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,OPTIMALISASI PENJADWALAN KAPAL TAMBAT PADA TERMINAL PETI KEMAS MENGGUNAKAN PENDEKATAN PROCESS MINING,Yuliani Puji Astuti,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Harmon Prayogi,2024,Rp. 30.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,PENGEMBANGAN METODE “PICTURE FUZZY”-TOPSIS” DALAM SISTEM PENENTUAN KEPUTUSAN (STUDI KASUS PERANKINGAN KRITERIA KONTEN PENDIDIKAN DI MEDIA SOSIAL),Raden Sulaiman,PENELITIAN FMIPA ( PENELITIAN FMIPA ),Yuliani Puji Astuti; Dwi Nur Yunianti,2023,Rp. 40.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,"PENGEMBANGAN RENCANA PEMBELAJARAN SEMESTER (RPS)  BERBASIS CASE STUDY, PROBLEM BASED LEARNING (PBL), DAN PROJECT BASED LEARNING (PJBL) DI PROGRAM STUDI S1 MATEMATIKA",Raden Sulaiman,PENELITIAN KEBIJAKAN STRATEGIS BATCH 1 FMIPA ( PENELITIAN KEBIJAKAN STRATEGIS BATCH 1 FMIPA ),Rudianto Artiono; Yuliani Puji Astuti,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,APLIKASI METODE FUZZY INTUISIONISTIK TOPSIS MODIFIKASI JARAK NON -EUCLID  DALAM PENENTUAN FAKTOR DOMINAN YANG MEMPENGARUHI     KETAHANAN PASIEN COVID -19,Raden Sulaiman,PENELITIAN KOMPETITIF FMIPA ( PENELITIAN KOLABORASI (FMIPA) ),Dwi Nur Yunianti; Yuliani Puji Astuti,2022,Rp. 60.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,ANALISIS FAKTOR FAKTOR YANG MEMPENGARUHI PERILAKU HIDUP SEHAT DI ERA PANDEMI DENGAN REGRESI MULTINOMIAL,A'yunin Sofro,PENELITIAN KOMPETITIF FMIPA ( PENELITIAN DASAR (FMIPA) ),Budi Rahadjeng; Yusuf Fuad; Yuliani Puji Astuti,2022,Rp. 20.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,ANALISIS MODEL KO-INFEKSI PENYAKIT COVID-19 DAN RUBELLA YANG MEMPERHATIKAN FAKTOR PEMBERIAN VAKSIN,Rudianto Artiono,PENUGASAN FMIPA 2021 ( PENELITIAN KEBIJAKAN FAKULTAS FMIPA 2021 ),Yuliani Puji Astuti; Atik Wintarti; Budi Priyo Prawoto,2021,Rp. 20.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,PENENTUAN SISTEM PEMBELAJARAN DARING DALAM RANGKA SOCIAL DISTANCING UNTUK PENANGGULANGAN WABAH COVID-19 MENGGUNAKAN FUZZY TOPSIS INTUISIONISTIK,Yuliani Puji Astuti,PENELITIAN KOMPETITIF KEBIJAKAN FAKULTAS FMIPA 2020 ( PENELITIAN KEBIJAKAN FAKULTAS/JURUSAN FMIPA 2020 ),Budi Rahadjeng; Dwi Nur Yunianti; Raden Sulaiman,2020,Rp. 12.000.000,Approved,INTERNAL SOURCE
6010301,Yuliani Puji Astuti,MODEL PENANGANAN DUA LEVEL INFEKSI TUBERKULOSIS,Yusuf Fuad,KOMPETITIF FMIPA ( PENELITIAN FMIPA ),Yuliani Puji Astuti; Dimas Avian Maulana,2019,Rp. 10.000.000,Approved,INTERNAL SOURCE
6803177,Kartika Chandra Dewi,OPTIMALISASI PERFORMA TEC UNTUK MENINGKATKAN MASSA OKSIGEN O2 PADA PROSES PEMBAKARAN MOTOR BAKAR,Zulfa Khalida,PENELITIAN DIPA INTERNAL ( PENELITIAN DIPA SWADANA REGULER KOMPETISI ),Yulia Puspa Dewi; Eti Putranti; Kartika Chandra Dewi,2024,Rp. 8.500.000,Approved,INTERNAL SOURCE
6803177,Kartika Chandra Dewi,MONITORING DAN MANAJEMEN SISTEM BATERAI MOTOR LISTRIK,Hadi Rahmad,PROGRAM ( PENELITIAN DIPA SWADANA REGULER KOMPETISI ),Saiful Arif; Zulfa Khalida; Kartika Chandra Dewi,2023,Rp. 8.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,PROTOTIPE SISTEM INFORMASI MANAJEMEN RUANG KULIAH BERBASIS WEB DI FMIPA UNESA,Hasanuddin Al-habib,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Shofan Fiangga; Dimas Avian Maulana,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,SEMANTIC SEGMENTATION OF POST-DISASTER AREA ON REMOTE SENSING VIDEO FROM UNMANNED AERIAL VEHICLE (UAV) USING SUPER RESOLUTION AND DEEP TRANSFER LEARNING DEEPLABV3 MODEL,Riskyana Dewi Intan Puspitasari,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Fadhilah Qalbi Annisa; Elly Matul Imah; Hasanuddin Al-habib; Ulfa Siti Nuraini; Ibnu Febry Kurniawan,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,SISTEM PELACAKAN OBJEK BERGERAK MENGGUNAKAN ALGORITMA MEAN SHIFT DAN OPTIMIZED FUZZY DECISION TREE DALAM VIDEO OLAHRAGA ( SPORTS VIDEO TRACKING ),Hasanuddin Al-habib,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Fadhilah Qalbi Annisa; Riskyana Dewi Intan Puspitasari; Ulfa Siti Nuraini,2024,Rp. 45.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,SISTEM LAYANAN PERSURATAN BERBASIS WEB DENGAN DIGITAL SIGNATURE MENGGUNAKAN ALGORITMA ELLIPTIC CURVE CRYPTOGRAPHY (ECC),Yuliani Puji Astuti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Hasanuddin Al-habib; Ulfa Siti Nuraini,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,PENGEMBANGAN PRODUK PEMBELAJARAN INTERAKTIF RAMAH DISABILITAS BERBASIS DIGITAL UNTUK MEMBENTUK KARAKTER ANAK INDONESIA (KARAKTERNESA),Yurizka Melia Sari,PENELITIAN KOMPETITIF (LPPM) ( PENELITIAN PENGEMBANGAN PRODUK INOVASI (LPPM) ),Raden Roro Hapsari Peni Agustin Tjahyaningtijas; Hasanuddin Al-habib; Mi'rojul Huda; Khusnul Khotimah,2023,Rp. 100.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,RANCANG BANGUN SISTEM INFORMASI MANAJEMEN PENGGUNAAN KELAS BERBASIS WEB DI FMIPA UNESA,Shofan Fiangga,PENELITIAN KEBIJAKAN STRATEGIS BATCH 1 FMIPA ( PENELITIAN KEBIJAKAN STRATEGIS BATCH 1 FMIPA ),Dimas Avian Maulana; Hasanuddin Al-habib,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,PENGEMBANGAN BUKU PEDOMAN KEGIATAN AKADEMIK KEMAHASISWAAN FMIPA UNESA,Hasanuddin Al-habib,PENELITIAN KEBIJAKAN STRATEGIS BATCH 1 FMIPA ( PENELITIAN KEBIJAKAN STRATEGIS BATCH 1 FMIPA ),Erlix Rakhmad Purnama; Ika Kurniasari; Meta Yantidewi,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,SISTEM CERDAS PENGAWAS UJIAN UNTUK DETEKSI OTOMATIS AKTIVITAS KECURANGAN PESERTA,Elly Matul Imah,PENELITIAN FMIPA ( PENELITIAN FMIPA ),Hasanuddin Al-habib; Fadhilah Qalbi Annisa; Riskyana Dewi Intan Puspitasari,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
6795613,Hasanuddin Al-habib,IDENTIFIKASI KEMAMPUAN BELAJAR MAHASISWA S1 SAINS DATA TAHUN PERTAMA MENGGUNAKAN  KECERDASAN ARTIFISIAL,Atik Wintarti,PENELITIAN FMIPA ( PENELITIAN FMIPA ),Hasanuddin Al-habib; Riskyana Dewi Intan Puspitasari; Fadhilah Qalbi Annisa,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
6860313,Harmon Prayogi,PEMODELAN SINYAL GAMELAN JAWA TIMURAN MENGGUNAKAN KECERDASAN ARTIFISIAL,Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Harmon Prayogi; Elly Matul Imah; Riskyana Dewi Intan Puspitasari; Sugeng Adipitoyo; Bambang Sugito,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
6860313,Harmon Prayogi,OPTIMALISASI PENJADWALAN KAPAL TAMBAT PADA TERMINAL PETI KEMAS MENGGUNAKAN PENDEKATAN PROCESS MINING,Yuliani Puji Astuti,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Harmon Prayogi,2024,Rp. 30.000.000,Approved,INTERNAL SOURCE
6860313,Harmon Prayogi,SISTEM LAYANAN PERSURATAN BERBASIS WEB DENGAN DIGITAL SIGNATURE MENGGUNAKAN ALGORITMA ELLIPTIC CURVE CRYPTOGRAPHY (ECC),Yuliani Puji Astuti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Hasanuddin Al-habib; Ulfa Siti Nuraini,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
6860313,Harmon Prayogi,DETEKSI GEMPA BERDASARKAN SINYAL SEISMIK MENGGUNAKAN MACHINE LEARNING,Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Fadhilah Qalbi Annisa; Yuliani Puji Astuti; Ibnu Febry Kurniawan,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
5976011,Ike Fitriyaningsih,ANALISIS DAMPAK PEMBELAJARAN FLIPPED CLASSROOM TERHADAP MOTIVASI DAN HASIL BELAJAR MAHASISWA PADA PERKULIAHAN PROBABILITAS DAN STATISTIKA DENGAN INDEPENDENT T TEST,Junita Amalia,HIBAH INTERNAL ( PDP-I ),Ike Fitriyaningsih; Yoli Agnesia,2022,Rp. 8.000.000,Approved,INTERNAL SOURCE
5976011,Ike Fitriyaningsih,PONTRYAGIN MINIMUM PRINCIPLE UNTUK KONTROL OPTIMAL PADA  MODEL EPIDEMI COVID-19,Tegar Arifin Prasetyo,HIBAH INTERNAL ( P-I ),Ike Fitriyaningsih,2021,Rp. 9.920.000,Approved,INTERNAL SOURCE
5976011,Ike Fitriyaningsih,EMPIRICAL EVALUATION ON TEXT NORMALISATION USING PHRASE-BASED & NEURAL UNSUPERVISED MACHINE TRANSLATION APPROACHES: STUDY CASE INDONESIAN POLITICAL NEWS,Teamsar Muliadi Panggabean,HIBAH INTERNAL ( P-I ),Ike Fitriyaningsih,2019,Rp. 7.500.000,Approved,INTERNAL SOURCE
5976011,Ike Fitriyaningsih,"Ensemble Machine Learning untuk Prediksi dan Analisis Curah Hujan, Debit Air dan Kejadian Banjir di Deli Serdang",Ike Fitriyaningsih,Penelitian Kompetitif Nasional ( PDP/Dosen Pemula ),Lit Malem Ginting; Yuniarta Basani,2018,Rp. 14.750.000,Approved,BIMA SOURCE
6816237,Fadhilah Qalbi Annisa,DETEKSI GEMPA BERDASARKAN SINYAL SEISMIK MENGGUNAKAN MACHINE LEARNING,Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Fadhilah Qalbi Annisa; Yuliani Puji Astuti; Ibnu Febry Kurniawan,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
6816237,Fadhilah Qalbi Annisa,SEMANTIC SEGMENTATION OF POST-DISASTER AREA ON REMOTE SENSING VIDEO FROM UNMANNED AERIAL VEHICLE (UAV) USING SUPER RESOLUTION AND DEEP TRANSFER LEARNING DEEPLABV3 MODEL,Riskyana Dewi Intan Puspitasari,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Fadhilah Qalbi Annisa; Elly Matul Imah; Hasanuddin Al-habib; Ulfa Siti Nuraini; Ibnu Febry Kurniawan,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
6816237,Fadhilah Qalbi Annisa,SMART CCTV PEMANTAU UJIAN UNTUK MENDETEKSI DAN PEMBERI PERINGATAN AKTIVITAS MENCURIGAKAN PESERTA UJIAN,Elly Matul Imah,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Riskyana Dewi Intan Puspitasari; Fadhilah Qalbi Annisa,2024,Rp. 46.000.000,Approved,INTERNAL SOURCE
6816237,Fadhilah Qalbi Annisa,SISTEM PELACAKAN OBJEK BERGERAK MENGGUNAKAN ALGORITMA MEAN SHIFT DAN OPTIMIZED FUZZY DECISION TREE DALAM VIDEO OLAHRAGA ( SPORTS VIDEO TRACKING ),Hasanuddin Al-habib,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Fadhilah Qalbi Annisa; Riskyana Dewi Intan Puspitasari; Ulfa Siti Nuraini,2024,Rp. 45.000.000,Approved,INTERNAL SOURCE
6816237,Fadhilah Qalbi Annisa,DESAIN DAN IMPLEMENTASI HUMAN-CENTERED APPROACH PADA APLIKASI BERBASIS WEB: EDUCATION PAYMENT MANAGER,Fadhilah Qalbi Annisa,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Irena Yolanita Maureen; Dimas Avian Maulana,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
6816237,Fadhilah Qalbi Annisa,IDENTIFIKASI KEMAMPUAN BELAJAR MAHASISWA S1 SAINS DATA TAHUN PERTAMA MENGGUNAKAN  KECERDASAN ARTIFISIAL,Atik Wintarti,PENELITIAN FMIPA ( PENELITIAN FMIPA ),Hasanuddin Al-habib; Riskyana Dewi Intan Puspitasari; Fadhilah Qalbi Annisa,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
6816237,Fadhilah Qalbi Annisa,SEGMENTASI AREA BANJIR PADA VIDEO DRONE ATAU UNMANNED AERIAL VEHICLES (UAV) MENGGUNAKAN U-NET,Riskyana Dewi Intan Puspitasari,PENELITIAN KOMPETITIF (LPPM) ( PENELITIAN DOSEN PEMULA (LPPM) ),Fadhilah Qalbi Annisa; Danang Ariyanto,2023,Rp. 17.000.000,Approved,INTERNAL SOURCE
6816237,Fadhilah Qalbi Annisa,SISTEM CERDAS PENGAWAS UJIAN UNTUK DETEKSI OTOMATIS AKTIVITAS KECURANGAN PESERTA,Elly Matul Imah,PENELITIAN FMIPA ( PENELITIAN FMIPA ),Hasanuddin Al-habib; Fadhilah Qalbi Annisa; Riskyana Dewi Intan Puspitasari,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
74762,Elly Matul Imah,Smart CCTV Berbasis Kecerdasan Artifisial untuk Deteksi Pelecehan Seksual sebagai Upaya Penanggulangan dan Pencegahan Kekerasan Seksual,Elly Matul Imah,Penelitian Kompetitif Nasional ( PTB ),Riskyana Dewi Intan Puspitasari; Atik Wintarti; Sjafiatul Mardliyah,2024,Rp. 242.320.000,Approved,BIMA SOURCE
74762,Elly Matul Imah,SEMANTIC SEGMENTATION OF POST-DISASTER AREA ON REMOTE SENSING VIDEO FROM UNMANNED AERIAL VEHICLE (UAV) USING SUPER RESOLUTION AND DEEP TRANSFER LEARNING DEEPLABV3 MODEL,Riskyana Dewi Intan Puspitasari,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Fadhilah Qalbi Annisa; Elly Matul Imah; Hasanuddin Al-habib; Ulfa Siti Nuraini; Ibnu Febry Kurniawan,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
74762,Elly Matul Imah,PEMODELAN SINYAL GAMELAN JAWA TIMURAN MENGGUNAKAN KECERDASAN ARTIFISIAL,Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Harmon Prayogi; Elly Matul Imah; Riskyana Dewi Intan Puspitasari; Sugeng Adipitoyo; Bambang Sugito,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
74762,Elly Matul Imah,SMART CCTV PEMANTAU UJIAN UNTUK MENDETEKSI DAN PEMBERI PERINGATAN AKTIVITAS MENCURIGAKAN PESERTA UJIAN,Elly Matul Imah,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Riskyana Dewi Intan Puspitasari; Fadhilah Qalbi Annisa,2024,Rp. 46.000.000,Approved,INTERNAL SOURCE
74762,Elly Matul Imah,SISTEM CERDAS PENGAWAS UJIAN UNTUK DETEKSI OTOMATIS AKTIVITAS KECURANGAN PESERTA,Elly Matul Imah,PENELITIAN FMIPA ( PENELITIAN FMIPA ),Hasanuddin Al-habib; Fadhilah Qalbi Annisa; Riskyana Dewi Intan Puspitasari,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
74762,Elly Matul Imah,Realtime Smart CCTV: Sistem Cerdas Deteksi Dan Peringatan Dini Tindak Kekerasan Pada Anak Secara Otomatis,Elly Matul Imah,Penelitian Kompetitif Nasional ( PRO ),Riskyana Dewi Intan Puspitasari,2023,Rp. 63.790.000,Approved,BIMA SOURCE
74762,Elly Matul Imah,Sistem Eyetracking untuk Analisis Kognisi Anak dengan Learning Disabilities dalam Pendidikan Formal,Rooselyna Ekawati,Penelitian Kompetitif Nasional ( PT ),Elly Matul Imah,2022,Rp. 138.980.000,Approved,BIMA SOURCE
74762,Elly Matul Imah,Sistem Cerdas Deteksi dan Peringatan Dini Tindak Kekerasan Pada Anak,Elly Matul Imah,Penelitian Desentralisasi ( PTUPT ),Atik Wintarti,2022,Rp. 156.300.000,Approved,BIMA SOURCE
74762,Elly Matul Imah,ANALISIS DATA PUBLIKASI ILMIAH UNESA MENGGUNAKAN ARTIFICIAL INTELLIGENCE DAN TEKNOLOGI APPLICATION PROGRAMMING INTERFACE,Elly Matul Imah,PENELITIAN KOMPETITIF LPPM ( PENELITIAN DASAR (LPPM) ),Irena Yolanita Maureen; Binar Kurnia Prahani; Lusia Rakhmawati,2022,Rp. 50.000.000,Approved,INTERNAL SOURCE
