Authors,Author IDs,Title,Year,Journal,Link,Abstract,Keywords,Document Type,DOI,TLDR,Scraped_By_Pipeline
"Raden Roro Hapsari Peni Agustin T, Riskyana Dewi Intan P, I Gusti Lanang Putra Eka Prismana","N40Vh64AAAAJ,DiBTIz4AAAAJ,_n2j0ZAAAAAJ",Analysis Of School Climate In The Unesa School Lab,2023.0,"Tarbawi: Jurnal Keilmuan Manajemen Pendidikan 9 (01), 17-26, 2023",https://jurnal.uinbanten.ac.id/index.php/tarbawi/article/download/7051/4324,"This study aims to analyze the school climate in the Unesa Lab School environment. This study uses a descriptive quantitative approach. This research took place in nine schools, including two kindergartens, two elementary schools, three junior high schools, one high school, and one vocational school. The study results show that the overall school climate in the Unesa Lab environment is excellent, evidenced by the average gain of 4.19. However, suppose one looks at them one by one. In that case, two schools are in the excellent category: Unesa Lab School Kindergarten 1 and Unesa Lab School Elementary School 1. Of all the indicators that tend to get low scores compared to the others are (1) the happy atmosphere of the students is not maximized, and there are still doubts in doing the assignment; (2) there is secrecy in providing information, so mutual suspicion still appears; (3) the synergy between school principals and teachers, between teachers, and teachers and students in the teaching and learning process is not maximized; (4) the teaching and learning facilities provided are not by their purpose; and (5) the assistance given has not been maximized for any difficulties that arise as a result of assignments imposed on students.","Management; school climate; lab school, supporting learning https://dx",JournalArticle,10.32678/tarbawi.v9i01.7051,,True
"Hafid Kholidi Hadi, Ricky Eka Putra, Riskyana Dewi Intan P, Raden Roro Hapsari Peni Agustin T, Cendra Devayana Putra","W7ncZRgAAAAJ,cPj-iOIAAAAJ,DiBTIz4AAAAJ,N40Vh64AAAAJ,XdEn69YAAAAJ",Analysis Of Self Concept And Graduation Capability In The Era Of Industrial Revolution 4.0 To Increase Absorption Of Vocational Student Graduates,2019.0,"1st Vocational Education International Conference (VEIC 2019), 283-292, 2019",https://doi.org/10.2991/assehr.k.191217.046,"This study aims to: (1) map self-concept needs in the era of IR 4.0; (2) mapping the graduation capability needs in the era of IR 4.0; and (3) mapping the efforts of universities to increase the absorption of graduates of vocational students. The method used is a qualitative method. Data collection techniques with interviews, documentation, literature review, and observation. The research subjects included lecturers, students, and stakeholders. Data analysis techniques through data reduction, data interpretation and triangulation. Conclusions from this study indicate that: (1) the need for self-concept in the era of IR 4.0 in vocational students includes internal dimensions (the identity self, the behavioural self, the judging self), and external dimensions (physical self, moral ethical self, personal self, family self, social self); (2) the need for graduation capability in the era of IR 4.0 in vocational students includes speed in taking effective and appropriate actions, the ability to map the vision and mission of life, the ability to cooperate with everyone, being able to adapt to all conditions of the work environment; and (3) higher education efforts in the field of vocational education to increase the absorption of graduates of vocational fields including the application of the synchronized curriculum of DU / DI needs, expansion of the number and quality of vocational education institutions, cooperation with graduate users, development of tracer studies, and student entrepreneurship improvement.","Self Concept, Graduation Capability, Vocational Education, Higher Education, graduate’s absorption","Conference, Review",10.2991/assehr.k.191217.046,,True
"Ricky Eka Putra, Riskyana Dewi Intan P, Raden Roro Hapsari Peni Agustin T, Berlian Maulidya Izzati, Cendra Devayana Putra","cPj-iOIAAAAJ,DiBTIz4AAAAJ,N40Vh64AAAAJ,_VFGVQQAAAAJ,XdEn69YAAAAJ",Analysis Of Student Acceptance In Utilization E-Learning During Covid-19 Pandemic For Higher Education In Indonesia Using Technology Acceptance Model,2021.0,"International Conference on Applied Science, Technology, and Engineering …, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_VFGVQQAAAAJ&pagesize=100&citation_for_view=_VFGVQQAAAAJ:Y0pCki6q_DkC,"<h2>Abstract</h2><p>This study was to explore factors predicting the use of e-learning during Corona Virus Disease 2019 (Covid-19) among sport science education students In Indonesia Higher Education Institutions (HEIs). The study was conducted through survey with 974 participating students from five Indonesian HEIs. An extended Technology Acceptance Model (TAM) with facilitating condition as the external factor was implemented to be the theoretical framework of this study. An analysis method through Partial Least Squares Structural Equation Modeling (PLS-SEM) was employed to measure and assess the proposed model. The findings informed that: (1) the TAM-based proposed scale has been successfully explained factors predicting the use of e-learning among Indonesian sport science students during the pandemic; (2) the finding of significant relationships between facilitating condition and perceived ease of use and between facilitating condition and perceived usefulness was reported; and (3) the significant relationships among core components of TAM were found except for one, relationship between perceived usefulness and attitude.</p>","Education, Covid-19, E-Learning, TAM, Sport science education",Artikel,10.1016/j.heliyon.2020.e05410,,True
"Raden Roro Hapsari Peni Agustin T, Mustaji","N40Vh64AAAAJ,zDgqPOsAAAAJ",Analysis Of Student Learning Motivation With Online Learning During The Covid-19 Pandemic,2021.0,"Buana Pendidikan: Jurnal Fakultas Keguruan dan Ilmu Pendidikan Unipa …, 2021",https://jurnal.unipasby.ac.id/index.php/jurnal_buana_pendidikan/article/download/3292/2792,"Online learning as one of the impacts of the spread of the corona virus in the education sector must be implemented as an effort to maintain the implementation of education for the realization of the goals of national education. The implementation of online learning holding an important role, especially for students to achieve learning goals with all the impacts such as motivation and learning outcomes. This study is intended to describe the effect of implementing online learning during the Covid-19 pandemic on student learning motivation. This research is a quantitative study involving 254 respondents. The research instrument used a questionnaire in the form of questions packaged through the google form link to measure student motivation towards the implementation of online learning. The analysis of research results used simple linear regression testing equipped with normality tests and linearity tests as prerequisites. Based on the results of data analysis, the regression equation for student learning motivation towards online learning is Y = 16.911 + 0.573 X with t count of 10.574 and the coefficient of determination R2 = 0.307. These results indicate that the implementation of online learning has a positive influence on student learning motivation.","Motivasi belajar, Covid-19, Pembelajaran daring",Article,10.36456/bp.vol17.no2.a3292,Results indicate that the implementation of online learning during the Covid-19 pandemic has a positive influence on student learning motivation.,True
"Raden Roro Hapsari Peni Agustin T, Rifqi Abdillah, Yuni Yamasari","nyyfjCgAAAAJ;N40Vh64AAAAJ,nyyfjCgAAAAJ,hn5jrnAAAAAJ;hn5jrnAAAAAJ",Analysis Of The Application Of Machine Learning Algorithms For Classification Of Toddler Nutritional Status Based On Anthropometric Data,2025.0,"Indonesian Journal of Electronics, Electromedical Engineering, and Medical …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hn5jrnAAAAAJ&pagesize=100&citation_for_view=hn5jrnAAAAAJ:eflP2zaiRacC,"The rapid advancement of technology has required appropriate strategies to achieve accurate and optimal results. Among these, machine learning has become one of the most widely applied technologies across various domains, including healthcare, due to its ability to process large volumes of data and produce reliable predictions. One critical health problem that can benefit from these approaches is malnutrition among toddlers, which continues to pose challenges to growth, development, and long-term well-being. This analysis aims to identify the most effective and efficient algorithms for classifying the nutritional status of toddlers based on anthropometric data. The review is grounded in relevant journal articles aligned with the research topic, which serve as the primary sources for synthesis. The selected studies underwent four stages of identification, selection, evaluation, and analysis to ensure both credibility and reliability. The analysis focuses on three main aspects: dataset characteristics, algorithms applied, and outcomes reported. Based on algorithm usage, three implementation strategies were identified: single model, multi-model, and model combination. The overall findings reveal that studies utilizing datasets with fewer than 500 records can effectively apply algorithms such as Random Forest, Decision Tree, and Naïve Bayes Classifier, which consistently achieve accuracy rates above 90%. For datasets exceeding 10,000 records, the XGBoost algorithm is recommended due to its scalability and efficiency in handling large-scale data. For datasets ranging between 500 and 10,000 records, hybrid approaches such as the C4.5 algorithm combined with Particle Swarm Optimization are preferable, with previous studies demonstrating an accuracy of 94.49%. This review highlights that algorithm selection should be adjusted according to dataset size and clinical needs. The findings provide valuable insights to support researchers, practitioners, and policymakers in developing accurate and effective solutions for toddler nutrition assessment","Status Classification, Machine Learning, Prediction, Toddler Nutrition, Anthropometric Data","JournalArticle, Review",10.35882/ijeeemi.v7i4.110,"The overall findings reveal that studies utilizing datasets with fewer than 500 records can effectively apply algorithms such as Random Forest, Decision Tree, and Naïve Bayes Classifier, which consistently achieve accuracy rates above 90%.",True
"Raden Roro Hapsari Peni Agustin T, Riskyana Dewi Intan P, Ghea Sekar Palupi","N40Vh64AAAAJ,DiBTIz4AAAAJ,4d_6xxEAAAAJ;4d_6xxEAAAAJ",Analysis Of The Effect Of Affordability Of Live Streaming Shopping Information Technology On Consumer Buying Interest,2026.0,"Journal of Education Technology and Information System 2 (01), 2026",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4d_6xxEAAAAJ&pagesize=100&citation_for_view=4d_6xxEAAAAJ:e5wmG9Sq2KIC,"The latest innovation from business information technology that is popular until now is live streaming shopping, a new marketing concept that combines live streaming with shopping activities. The birth of this new marketing trend or concept has been adopted by many large platforms, one of which is Shopee. Some business people utilise this platform to promote various products with a more general target. Although it offers many advantages, there are still problems in the use of information technology in this feature. This research was conducted with the aim of analyzing things that can influence consumer buying interest in the shopee live feature when viewed from the IT Affordance aspect with the Structural Equation Modelling-Partial Least Square (SEM-PLS) approach. This study indicates that IT Affordance through live streaming engagement has a positive effect on user purchase intention on the shopee live feature. These findings aim to identify the influence of IT Affordance and provide practical benefits for e-commerce users in order to design technology-based marketing strategies to increase engagement and support product purchase decisions.","IT affordance, Live Streaming",Articles,10.26740/jetis.v2i01.42523,,True
"Achmad Kautsar, Raden Roro Hapsari Peni Agustin T","bTjH6IgAAAAJ,N40Vh64AAAAJ",Analysis Of The Effect Of Profitability And Leverage On Dividend Policy Moderated By Company Size,2025.0,"International Conference on Digital Business Innovation and Technology …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bTjH6IgAAAAJ&pagesize=100&citation_for_view=bTjH6IgAAAAJ:K3LRdlH-MEoC,"This research investigates how profitability and leverage impact dividend policy, considering company size as a moderating variable, in infrastructure companies listed on the Indonesia Stock Exchange (IDX) from 2018 to 2022. Dividend policy remains a complex financial issue for firms, with profitability generally enhancing the ability to pay dividends, while leverage can impose constraints. Recent perspectives suggest that company size could moderate these effects, offering a new angle for understanding dividend distributions in different organizational contexts. Utilizing a causal-conclusive research design, this study investigates the cause-and-effect relationships between the variables, analyzing data collected from RUPST (General Meeting of Shareholders) reports and annual financial statements. By focusing on the infrastructure sector, the study provides industry-specific insights into how dividend policies can be optimized based on profitability, leverage, and company size. The results of this research are anticipated to offer meaningful insights for financial managers, investors, and policy makers, enabling companies to customize their dividend strategies according to their specific financial and organizational characteristics. Additionally, this study enhances the existing literature by exploring the interaction between internal financial factors and company size in influencing dividend policy decisions, particularly in emerging markets such as Indonesia.","Dividend Policy, Leverage, Profitability, Company Size",Articles,,,True
"Raden Roro Hapsari Peni Agustin T, Andi Mariono, Farhanna Mari, Fajar Arianto","MZCJPuIAAAAJ;N40Vh64AAAAJ,Iq3gzh4AAAAJ,LeRoniwAAAAJ,MZCJPuIAAAAJ;zDgqPOsAAAAJ;Iq3gzh4AAAAJ",Analysis Of The Effectiveness Of Project-Based Seamless Learning Model On Concept Understanding,2024.0,"Journal of Education, Society and Behavioural Science 37 (6), 307-320, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Iq3gzh4AAAAJ&pagesize=100&citation_for_view=Iq3gzh4AAAAJ:2KloaMYe4IUC,"Aims: The aim of this study was to identify the effectiveness of project-based seamless learning model on concept understanding. 
Study Design:  The research method used quantitative experimental design. 
Methodology: The research method used quasi experiment with research design nonequivalent pretest posttest group design, where there is an experimental group and a control group, the experimental group is given treatment and there is no treatment on the control group. The research subjects were 160 people, 80 people in the experimental group and 80 people in the control group. Data collection using tests conducted pretest and posttest. Data analysis used normality test, homogeneity test and independent sample t test. 
Results: The results of research and discussion, it can be concluded that there is an effective project-based seamless learning model on concept understanding. Based on the results of hypothesis testing on the posttest, the value on the posttest of the experimental group and the control group obtained a significance value of 0.002 <0.050. And also the difference in the average posttest score of the experimental group is 84.06, greater than the lower control group of 80.56. This proves that there are differences caused by the application of the learning model in the two groups. The experimental group used a project-based seamless learning model while the control group used a conventional model. 
Conclusion: there is the effectiveness of project-based seamless learning model on concept understanding. The hope is that the project-based seamless learning model can be applied at various levels of educational institutions or in various subject matters so that the quality of learning will be even better and continue to improve rapidly.","Computer science, Systems engineering, Management science, Engineering management, Engineering",JournalArticle,10.9734/jesbs/2024/v37i61347,,True
"Raden Roro Hapsari Peni Agustin T, Mustaji","N40Vh64AAAAJ,zDgqPOsAAAAJ",Analysis Of The Gap In Scriptwriting And Video Production Skills: A Case Study Of The Video And Tv Media Development Course,2025.0,"TPM–Testing, Psychometrics, Methodology in Applied Psychology 32 (4), 464-471, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zDgqPOsAAAAJ&cstart=100&pagesize=100&citation_for_view=zDgqPOsAAAAJ:PYBJJbyH-FwC,"Introduction. A significant disparity exists between students' scriptwriting and video production competencies in the Video and TV Media Development course. This study seeks to ascertain the fundamental variables leading to this disparity by assessing lecturer qualifications, available learning resources, and instructional execution.


Study participant and methods. The participants in this study were fifth-semester students of the Educational Technology program who were enrolled in the Media Video and Television Development course, totaling 125 individuals. The students were involved in providing assessments of lecturer performance by completing a structured questionnaire. In addition, the study also included three lecturers responsible for teaching the course, whose performance was evaluated by the program’s monitoring and evaluation (Monev) team and whose teaching activities were observed in each class. A mixed-methods approach was employed to collect data, incorporating document analysis from the Monev reports, student questionnaires, interviews, and classroom observations of the learning activities.


Results. The findings reveal that while lecturers received excellent ratings for pedagogical preparation (average >85%) and students reported satisfaction with teaching quality (average >90%), the existing instructional tactics are inadequate for effectively engaging students in practice-based learning. Furthermore, although the institution offers vital resources—including a Learning Management System (LMS) and laboratory apparatus—their incorporation into the educational process is inadequate.


Conclusion. These findings indicate the necessity for a restructured educational framework customized to the cognitive and technical requirements of media production education. The study advocates for additional research on the development of instructional models tailored to media-based courses to address the reported skill gap.","Learning Gap, Script Writing, Video Production, Educator, Learning Resources, Learning",Articles,,,True
"Muhammad Fachmi, Riskyana Dewi Intan P","5nAJx9wAAAAJ;5nAJx9wAAAAJ,DiBTIz4AAAAJ",Analysis Of The Influence Of Competency On Employee Performance Through Competent Based Work And Work Capacity At The Uptd Forest Management Unit In South Sulawesi (Study At …,2024.0,"Point of View Research Economic Development 5 (1), 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5nAJx9wAAAAJ&pagesize=100&citation_for_view=5nAJx9wAAAAJ:iH-uZ7U-co4C,This research aims to analyze and describe the influence of competence on compe-,"Competence, Competent, Work Capac-",Artikel,,,True
"Raden Roro Hapsari Peni Agustin T, I Gusti Putu Asto Buditjahjanto, Riskyana Dewi Intan P, Tri Rijanto","z7RWDi0AAAAJ;N40Vh64AAAAJ,yObeL8gAAAAJ,DiBTIz4AAAAJ,z7RWDi0AAAAJ;yObeL8gAAAAJ",Analysis Of The Moodle Application Instrument With The Exam Browser To Measure Online Learning Outcomes In Digital Communication Simulation Subjects In Class X Multimedia At …,2021.0,"International Journal for Educational and Vocational Studies 3 (5), 365-372, 2021",https://doi.org/10.29103/ijevs.v3i5.5019,"This study was used to determine the feasibility of the instrument before being used for further research. This study uses a quasi-experimental research design. In this study, to calculate the validation results from three validators who are experts in their fields using the arithmetic average, the validated instruments are: (1) the validation questions get 87.51% results; (2) validation of attitude assessment got 90.27% results; (3) validation of student skills assessment got 92.71% results; (4) the validation of the assessment of the Learning Implementation Plan (RPP) got 92.16% results; (5) validation of the syllabus assessment got 86.95% results; (6) Moodle assessment validation with browser exam got 87.25% results; (7) the validation of the student learning module assessment got 84.71% results; (8) the validity of the items is declared valid; (9) the reliability of the items is declared reliable; (10) the differentiating power of the items has very good criteria; and (11) the level of difficulty of the items showed that of the 40 items tested, the percentage was 35% (14 questions) in the medium category, and 65% (26 questions) in the easy category. From the calculation results that have been mentioned, the Moodle application instrument with a browser exam to measure online learning outcomes is declared feasible and can be used for further research.","Analisys Instrument, Moodle, Exam Browser",Articles,10.29103/ijevs.v3i5.5019,The Moodle application instrument with a browser exam to measure online learning outcomes is declared feasible and can be used for further research.,True
Raden Roro Hapsari Peni Agustin T,N40Vh64AAAAJ,Analysis Of The Relationship Between Concept Mastery And Problem-Solving Skills Of Pre-Service Biology Teachers In Human Physiology Courses,2021.0,"Jurnal Pendidikan Sains Indonesia, 2021",https://doi.org/10.24815/jpsi.v9i3.19956,"21st century learning focuses on problem-solving skills. A higher level of education requires an understanding of a more systematic concept to elaborate problems. Problem-solving skill is one of the fundamental cognitive processes. It involves higher order thinking to discover solutions or ideas. This research aims to analyze the relationship between concept mastery and problem-solving skill of pre-service biology teacher in human physiology courses. This is descriptive correlational research conducted in Sulthan Thaha Saifuddin State Islamic University Jambi. The sample was selected using the purposive sampling technique. Respondents in this study were 33 students in semester VI. The instrument used in the study was an essay test of concept mastery integrated with problem-solving. The results showed that the average scores of the students' concept mastery and problem-solving were 56.8 and 58.0, respectively. Both included in the poor category. It also showed that there was a relationship between students' concept mastery and problem-solving skill. The correlation value was 0.76, with a significance value of p0.05; therefore, it included in the strong category.","Nonprobability sampling, Mathematics education, Psychology, Value (mathematics), Test (biology), Sample (material), Mathematics, Biology, Population, Medicine, Statistics",Article,10.24815/JPSI.V9I3.19956,This research aims to analyze the relationship between concept mastery and problem-solving skill of pre-service biology teacher in human physiology courses in Sulthan Thaha Saifuddin State Islamic University Jambi.,True
"Hafid Kholidi Hadi, Raden Roro Hapsari Peni Agustin T, Elly Matul Imah","W7ncZRgAAAAJ,N40Vh64AAAAJ,tzjThtIAAAAJ",Analysis Of The Use Of Edu-Learning In Basic Programming Competencies At Smk Ketintang Surabaya In The Covid-19 Pandemic Era,2022.0,"International Journal for Educational and Vocational Studies 4 (1), 7-10, 2022",https://ojs.unimal.ac.id/ijevs/article/download/3513/3637,"Learning Management System (LMS) technology is a web-based technology developed to improve the learning process through proper planning, application and evaluation in educational institutions. The use of LMS in the learning process helps facilitate e-learning because it provides educational material without time or place constraints. SMK Ketintang is a vocational high school under the auspices of the Widya Dharma Surabaya Foundation. SMK Ketintang seeks to implement edu-learning, a Learning Management Systemplatform (LMS)equipped with chat andfeatures teleconference which are used as online learning media in the era of the Covid-19 pandemic. Edu-learning was developed with the aim of being a bridge between teachers and students in organizing and implementing learning. The analysis of the use of edu-learning as anlearning medium online in the Covid-19 pandemic era has 4 (four) indicators, including: (1) ease of use; (2) delivery of information; (3) media attractiveness; (4) media features. The results of this study indicate that the level of effectiveness in using edu-learning reaches 79.5%. So it can be concluded that edu-learning is effectively used as an online learning medium in the era of the Covid-19 pandemic.",Edu-learning; Programming; Competency SMK; Covid-19;,Article,10.29103/ijevs.v4i1.3513,It can be concluded that edu-learning is effectively used as an online learning medium in the era of the Covid-19 pandemic.,True
"Martini Dwi Endah Susanti, Rindu Puspita Wibawa, Dodik Arwin Dermawan, Riskyana Dewi Intan P, Raden Roro Hapsari Peni Agustin T, Ramadhan Cakra Wibawa","Thp8jg0AAAAJ;Hl6bqU8AAAAJ;q24bD6AAAAAJ;q24bD6AAAAAJ,Hl6bqU8AAAAJ,Thp8jg0AAAAJ,DiBTIz4AAAAJ,N40Vh64AAAAJ,Em3aIV0AAAAJ",Analysis Of The Use Of Virtual Meeting In The Implementation Of Proposal/Thesis Examination During Covid-19 Pandemic,2020.0,"International Joint Conference on Science and Engineering (IJCSE 2020), 65-69, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Hl6bqU8AAAAJ&pagesize=100&citation_for_view=Hl6bqU8AAAAJ:zYLM7Y9cAGgC,"In the early 2020s, Indonesia was shocked by the Coronavirus Disease (Covid-19) outbreak which struck almost all parts of the world. The Indonesian government spontaneously implemented a policy of learning from home, working from home, and worship at home. All face-to-face activities are diverted online. In the field of education, both universities and schools need to strengthen online learning during this time. Universitas Negeri Surabaya has an alternative in carrying out a proposal / thesis seminar by using virtual meetings. The virtual meetings used include: meeting.unesa.ac.id, rv.unesa.ac.id, zoom, google meets, Webex and others. This study aims to determine students' perceptions of the virtual meeting features as a means of online proposal / thesis examination in the middle of a pandemic. This study can be a reference whether the use of virtual meetings as an alternative in carrying out a seminar proposal / thesis is effectively implemented. The research focuses on students' opinions on the usability factor (PU) and convenience factor (PEOU) in virtual meeting features following the Technology Acceptance Model theory. This research was conducted by quantitative methods. The sample used in this study were students of Universitas Negeri Surabaya who were taking the thesis. Data collection techniques using a questionnaire with a Likert scale. Then the results of the questionnaire data are processed using the Structural Equation Model (SEM) with SPSS tools. The results of the study stated that the research indicators related to user satisfaction in utilizing virtual meetings as an alternative for implementing seminar proposals / theses passed the validity, reliability, and linearity tests. Validity test value> r table. The value of the alpha reliability test was between 0.70 -0.90. While the linearity test value> 0.05.","Technology Acceptance Model, virtual meeting, Covid-19",Article,10.2991/aer.k.201124.012,,True
"I Gusti Putu Asto Buditjahjanto, Bambang Suprianto, Riskyana Dewi Intan P, Belgis Ainatul Iza, Raden Roro Hapsari Peni Agustin T","yObeL8gAAAAJ,j8HRV1wAAAAJ,DiBTIz4AAAAJ,Y4YoRwUAAAAJ,N40Vh64AAAAJ;yObeL8gAAAAJ;j8HRV1wAAAAJ","Analysis Of Time Management, Problem-Solving Ability And Automotive Electrical Competence",2023,The IAFOR Conference on Educational Research &amp; Innovation: 2023 Official Conference Proceedings,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&cstart=200&pagesize=100&citation_for_view=j8HRV1wAAAAJ:_FM0Bhl9EiAC,"In the 21st century, the industrial revolution 4.0 and regulations limiting fossil fuel use have caused the automotive industry to compete to create environmentally friendly vehicles. Electric-based vehicles are the right solution for future vehicles. Therefore, the workforce's ability in the electricity field is urgently needed. Therefore, there is a need to improve the quality","Time Management, Problem-Solving Ability, Automotive Electrical Competence",Conference,10.22492/issn.2435-1202.2023.2,,True
Dodik Arwin Dermawan,Thp8jg0AAAAJ,Analysis Of Usability Aspects In The Disability Work Center Application (Go-Diswork),2021.0,"International Joint Conference on Science and Engineering 2021 (IJCSE 2021 …, 2021",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Thp8jg0AAAAJ&cstart=100&pagesize=100&citation_for_view=Thp8jg0AAAAJ:M3ejUd6NZC8C,"Information less than optimal in cyberspace is the leading cause of people with disabilities not getting jobs. The shortcomings of persons with disabilities are also the cause of the difficulty in obtaining information. While labor providers have opened up job opportunities for persons with disabilities, very few persons with disabilities have submitted...","Disability, Go-DISWORK, Usability, Analysis",Artikel,10.2991/aer.k.211215.121,,True
Ramadhan Cakra Wibawa,Em3aIV0AAAAJ,Analysis Of User Satisfaction Level Of Myim3 Application Using Tam Method,2021.0,"Applied Technology and Computing Science Journal 4 (2), 130-137, 2021",https://journal2.unusa.ac.id/index.php/ATCSJ/article/download/3096/1904,"User satisfaction is a critical thing in handling a business. The company must be capable to provide quality services for the products/services provided by them. MyIM3 application is an application developed by PT. Indosat Ooredoo Hutchison to check and purchase credit and data packages online, find promotions offered by Indosat Ooredoo Hutchison, etc. More than 10 million users have downloaded the myIM3 app on the PlayStore and AppStore. The number of features offered makes users often experience problems in accessing the application so it affects user satisfaction. This study aims to find a correlation between variables to determine the level of user satisfaction with myIM3 application. This study applied Technology Acceptance Model (TAM) method. The number of respondents obtained by using the calculation of Slovin's formula was 400. The technique of data collection used in this study was by distributing questionnaires to myIM3 users throughout the public with various criteria. The technique of data analysis used in this study was Structural Equation Model (SEM). From this study, the hypothesis that has the most significant influence is Attitude Toward Using to Behavioral Intention to Use, while other hypotheses which also have a significant influence are Perceived Ease of Use to Perceived Usefulness, Perceived Usefulness to attitude Toward Using, Perceived Ease of Use To attitude Toward Using, and Behavioral Intention to Use to User Satisfaction.","User Satisfaction, Technology Acceptance Mode, Structural Equation Mode, MyIM3, Data Analytics",Article,10.33086/atcsj.v4i2.3096,"A correlation between variables is found to determine the level of user satisfaction with myIM3 application and the hypothesis that has the most significant influence is Attitude Toward Using to Behavioral Intention to Use, while other hypotheses which also have a significant influence are Perceived Ease of Use to Perceived usefulness, Perceived Usefulness to attitude Toward using, and perceptions of ease of use to attitude towards using.",True
"Raden Roro Hapsari Peni Agustin T, Dwi Fatrianto Suyatno","N40Vh64AAAAJ,OffRzhoAAAAJ;OffRzhoAAAAJ","Analysis Of User Satisfaction Live Shopping Of The Shopee Application Using End User Computing Satisfaction (Eucs) And Performance, Information, Economic, Control, Efficiency …",2023.0,"Journal of Emerging Information Systems and Business Intelligence 4 (2), 146-155, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OffRzhoAAAAJ&pagesize=100&citation_for_view=OffRzhoAAAAJ:IWHjjKOFINEC,"Many companies are competing to add variety to the online buying and selling business, such as offering products by live sellers. One platform that takes advantage of this is Shopee. However, it is known that the use of live shopping of the shopee application itself is still inferior to other similar applications and there are still some complaints or negative reviews. A service can be said to be successful in providing satisfaction if it can meet the needs of its users. The purpose of this study was to determine the results of measuring user satisfaction using the EUCS and PIECES methods, based on 11 variables namely content, accuracy, format, ease of use, timeliness, performance, information, economics, control, efficiency, and service. The data was obtained by distributing research questionnaires to users who made purchases on the Shopee application live shopping in Indonesia and obtained as many as 385 respondents. Based on the analysis conducted, it was found that all variables gave very satisfactory interpretation values ??with the highest value obtained by service at 90.42%, while the lowest value was obtained by timeliness at 78.31%. Then, all of these variables have a simultaneous effect on user satisfaction, whereas if partially all variables have an effect. However, there are two variables that do not have a partial effect, namely timeliness and efficiency.","User Satisfaction, Live Shopping of the Shopee Application, EUCS, PIECES","JournalArticle, Review",10.26740/jeisbi.v4i2.53143,"It was found that all variables gave very satisfactory interpretation values, with the highest value obtained by service at 90.42%, while the lowest value was obtained by timeliness, and there are two variables that do not have a partial effect, namely timeliness and efficiency.",True
"Kartika Chandra Dewi, Riskyana Dewi Intan P, Rahadian Bisma, Yuni Rosita Dewi, Renny Sari Dewi, Raden Roro Hapsari Peni Agustin T","eEtHoOAAAAAJ;R9rGmc4AAAAJ,DiBTIz4AAAAJ,eEtHoOAAAAAJ,i0pkJZoAAAAJ,4VXQFKYAAAAJ,N40Vh64AAAAJ","Analysis Of User Satisfaction Of The"" Lalamove",2025.0,"Application Using the SERVQUAL and EUCS Method 5 (4), 365-370, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=eEtHoOAAAAAJ&pagesize=100&citation_for_view=eEtHoOAAAAAJ:rO6llkc54NcC,,,Artikel,,,True
"Kartika Chandra Dewi, Riskyana Dewi Intan P, Rahadian Bisma, Yuni Rosita Dewi, Renny Sari Dewi, Raden Roro Hapsari Peni Agustin T","eEtHoOAAAAAJ;R9rGmc4AAAAJ,DiBTIz4AAAAJ,eEtHoOAAAAAJ,i0pkJZoAAAAJ,4VXQFKYAAAAJ,N40Vh64AAAAJ","Analysis Of User Satisfaction Of The"" Lalamove"" Application Using The Servqual And Eucs Method",2024.0,"Journal of Emerging Information Systems and Business Intelligence 5 (4), 365 …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=eEtHoOAAAAAJ&pagesize=100&citation_for_view=eEtHoOAAAAAJ:pqnbT2bcN3wC,"Lalamove is a logistics platform connecting customers with trained drivers and couriers, offering secure, rapid, and convenient delivery solutions, focusing on quality, safety, and customer satisfaction. This study analyzes user satisfaction with the Lalamove application using twovice Quality (SERVQUAL) and End User  Computing Satisfaction (EUCS). The SERVQUAL method assesses service quality across five dimensions: tangible ty, dimensions, responsiveness, assurance, and empathy. Meanwhile, EUCS evaluates information system user satisfaction based on five dimensions: content, accuracy, Format, ease of use, and timeliness. Employing a quantitative approach with a survey method, this research involved 309 respondents comprising Lalamove application users, including customers and drivers. The results indicate that reliability and responsiveness (SERVQUAL), Format, and insourcing support (EUCS) significantly influence customer satisfaction. Additionally, the overall EUCS variables positively impact customer satisfaction. These findings suggest that combining SERVQUAL and EUCS provides a holistic understanding of service quality and user satisfaction, encompassing aspects of operational and user experience. Primary recommendations include enhancing system performance, improving delivery timeliness, and optimizing the application's interface design and usability.","Service Quality, End User Computing Satisfaction, Kepuasan Pengguna, Aplikasi Lalamove, Kualitas Layanan","JournalArticle, Review",10.26740/jeisbi.v5i4.65340,"It is suggested that combining SERVQUAL and EUCS provides a holistic understanding of service quality and user satisfaction, encompassing aspects of operational and user experience.",True
